eng,ssw,source
National Land Transport Amendment Bill [B 7D – 2016] (National Assembly – sec 76).,IMITSETFOSIVIVINYO LEPHASISWE LIBANDLA LAVELONKHE YABESE INDLULISELWA KUMKHANDLU WETIFUNDZA WAVELONKHE KUTE KUTSI KUVUNYELWANE NGAYO,February
BILLS PASSED BY NATIONAL ASSEMBLY AND TRANSMITTED TO NATIONAL COUNCIL OF PROVINCES FOR CONCURRENCE,Umtsetfosivivinyo weTinkantolo teSintfu [B 1B – 2017] (Libandla laVelonkhe – sigaba se-76).,February
Traditional Courts Bill [B 1B – 2017] (National Assembly – sec 76).,Umtsetfosivivinyo weTebugebengu Lobentiwa ku-Inthanethi [B 6B – 2017] (Libandla laVelonkhe – sigaba se-75).,February
Cybercrimes Bill [B 6B – 2017] (National Assembly – sec 75).,Umtsetfosivivinyo weKuchibela Temishado yeBulili Lobufananako [B 11B – 2018] (Libandla laVelonkhe – sigaba se-75).,February
Civil Union Amendment Bill [B 11B – 2018] (National Assembly – sec 75).,Hulumende waseKhaya: Umtsetfosivivinyo weKuchibela teTinhlaka taBomasipala [B 19B – 2018] (Libandla laVelonkhe – sigaba se-76).,February
Local Government: Municipal Structures Amendment Bill [B 19B – 2018] (National Assembly – sec 76).,Umtsetfosivivinyo weKuchibela Tekugembula [B 27B – 2018] (Libandla laVelonkhe – sigaba se-76).,February
National Gambling Amendment Bill [B 27B – 2018] (National Assembly – sec 76).,Umtsetfosivivinyo weKuchibela Imitsetfo yeteSayensi neTheknoloji [B 42B  2018] (Libandla laVelonkhe – sigaba se-75).,February
INTERNATIONAL AGREEMENTS,TIVUMELWANE TEMAVE EMHLABA,February
"Convention establishing the Square Kilometre Array (SKA) Observatory (Tabled on 18 September 2019) (NA: Referred to Portfolio Committee on Higher Education, Science and Technology on 19 September 2019 – reported on 8 October 2019 – approved on 6 November 2019) (NCOP: Referred to Select Committee on Education and Technology, Sports, Arts and Culture on 19 November 2019 - reported on 19 February 2020).","Sivumelwane lesigunyata kusungulwa kweSikhungo lesiSikwelemitha seTesayensi yeKubuka Nekucungula ngeteTinkhanyenti (i-SKA) (Setfulwe mhla ti-18 Inyoni 2019).  (Sandluliselwa eKomidini leSigungu saVelonkhe leTemfundvo Lephakeme, Isayensi neTheknoloji mhla ti-19 Inyoni 2019 – kubikwe mhla ti-8 Imphala 2019– savunywa mhla ti-6 Lweti 2019) (I-NCOP: Sendluliselwa kuLikomidi leMkhandlu weTifundza waVelonkhe leteMfundvo Lephakeme Netetheknoloji, Temidlalo, Buciko Nemasiko mhla ti-19 Lweti 2019)- kubikwe mhla ti-19 Indlovana 2020).",February
"Agreement between the Government of the Republic of South Africa and the International Centre for Genetic Engineering and Biotechnology (ICGEB) on the Establishment of an International Centre for Genetic Engineering and Biotechnology (ICGEB) Component in the Republic of South Africa (Tabled on 18 September 2019) (NA: Referred to Portfolio Committee on Higher Education, Science and Technology on 19 September 2019 - reported on 5 December 2019) (NCOP: Referred to Select Committee on Education and Technology, Sports, Arts and Culture on 19 November 2019).","Sivumelwane lesisemkhatsini waHulumende waseRiphabhliki  
yaseNingizimu Afrika kanye Nesikhungo seMave eMhlaba lesimayelana neKusetjentiswa kwelufuto ngandlelatsite kanye neTheknoloji yeKwenta Timphilo teBantfu Tibe Ncono (I-CGEB) mayelana nekusungulwa kweSikhungo seMhlaba seKusetjentiswa kweLufuto Ngandlelatsite kanye neTheknoloji yeKwenta Timphilo teBantfu Tibe Ncono (i-ICGEB) eRiphabhliki yaseNingizimu Afrika (Setfulwe mhla ti-18 Inyoni 2019) (Libandla laVelonkhe.   (Sendluliselwa kuLikomidi leLibandla laVelonkhe leTemfundvo Lephakeme, Isayensi Netheknoloji mhla ti-19 Inyoni 2019 - kwabikwa mhla ti-5 Ingongoni 2019) (Umkhandlu weTifundza waVelonkhe: Sendluliselwa kuLikomidi leMkhandlu weTifundza waVelonkhe leteMfundvo Lephakeme Netetheknoloji, Temidlalo, Buciko Nemasiko mhla ti-19 Lweti 2019).",February
"Ratification of the Agreement between the Government of the Republic of India, the Government of the Federative Republic of Brazil and the Government of the Republic of South Africa on the IBSA Fund for the Alleviation of Poverty and Hunger (signed 17 October 2017) (Tabled on 18 October 2019) (NA: Referred to Portfolio Committee on International Relations and Cooperation on 22 October 2019) (NCOP: Referred to Select Committee on Security and Justice on 24 October 2019).","Kusayinwa kwesivumelwane lesisemkhatsini waHulumende weRiphabhliki yase-Indiya, Hulumende weRiphabliki yeNhlangano yeBhrazili kanye naHulumende weRiphabhliki yaseNingizimu Afrika lesimayelana neSikhwamamali se-IBSA seKwenta Buphuya neNdlela kube Ncono (sasayinwa mhla ti-17 Imphala 2017) (seTfulwa mhla ti-18 Imphala 2019) (Libandla Lavelonkhe: Sendluliwelwe kuLikomidi Letebudlelwano Nekubambisana Kwemave Emhlaba mhla tinge-22 Imphala  2019) (Umkhandlu weTifundza waVelonkhe: Sendluliselwa kuLikomdi Letekuvikeleka Nebulungiswa mhla tinge-24 Imphala 2019).",February
Treaty between the Government of the Republic of South Africa and the Government of the Republic of Bangladesh on Extradition (Tabled on 14 November 2019) (NA: Referred to Portfolio Committee on Justice and Correctional Services on 18 November 2019) (NCOP: Referred to Select Committee on Security and Justice on 30 January 2020).,Sivumelwane lesisemkhatsini waHulumende weRiphabhliki yaseNingizimu Afrika naHulumende weRiphabhliki yaseBangladesh lesimayelana lekulandvwa kwemuntfu eveni lakubo ayiswe eveni lente kulo bugebengu (Setfulwe mhla ti-14 Lweti 2019) (Libandla laVelonkhe: Sendluliselwe kuLikomidi leLibandla laVelonkhe leTebulungiswa Nekulungiswa Kwesimilo mhla ti-18 Lweti 2019) (Libandla laVelonkhe: Sendluliselwa kuLikomdi leTekuvikeleka Nebulungiswa mhla tinge-30 Bhimbidvwane 2020).,February
Treaty between the Government of the Republic of South Africa and the Government of the Republic of Bangladesh on Mutual Legal Assistance in Criminal Matters (Tabled on 14 November 2019) (NA: Referred to Portfolio Committee on Justice and Correctional Services on 18 November 2019) (NCOP: Referred to Select Committee on Security and Justice on 30 January 2020).,Sivumelwane lesisemkhatsini waHulumende weRiphabhliki yaseNingizimu Afrika naHulumende weRiphabhliki yase Bangladesh lesimayelana neKusitana ngekweMtsetfo eTindzabeni teBugebengu (Setfulwe mhla ti-14 Lweti 2019) (Libandla laVelonkhe: Sendluliselwe kuLikomidi leLibandla laVelonkhe leTebulungiswa Nekulungiswa Kwesimilo mhla ti-18 Lweti 2019) (Umkhandlu weTifundza waVelonkhe: Sendluliselwa kuLikomdi leTekuvikeleka Nebulungiswa mhla tinge-30 Bhimbidvwane 2020).,February
Agreement between the Government of the Republic of South Africa and the European Atomic Energy Community (EURATOM) for Co-operation in the Peaceful Uses of Nuclear Energy (Tabled on 14 November 2019) (NA: Referred to Portfolio Committee on Mineral Resources and Energy on 18 November 2019).,Sivumelwane lesisemkhatsini waHulumende waseRiphabhliki yaseNingizimu Afrika kanye neNhlango yaseYurophu yeteMandla e-Athomi (i-EURATOM) seKubambisana eKusebentiseni ngeKuthula Emandla eNuzi (Setfulwe mhla ti-14 Lweti 2019) (Libandla laVelonkhe: Sendluliselwe kuLikomidi leLibandla laVelonkhe leteTimbiwa Nemandla mhla ti-18 Lweti 2019).,February
MOTIONS:,TISHUKUMISO:,March
Draft resolution (Chief Whip of the Majority Party): That the House extends the deadline by which the Ad Hoc Committee to initiate and introduce legislation amending section 25 of the Constitution has to complete its task to 30 May 2020.,Sincumo lesiluhlaka (Sosiswebhu weLicembu Lelibusako): Sekutsi Indlu yengete sikhatsi lesingumncamulajucu sekutsi Likomidi leSikhashana licale futsi letfule umtsetfo wekuchibela sigaba se-25 seMtsetfosisekelo sekutsi iphotfule umsebenti wayo kube mhla tinge-29 Inkhwekhweti 2020.,March
Draft resolution (Chief Whip of the Majority Party): That the House revives the Aquaculture Development Bill [B 22 - 2018] (National Assembly –sec 76) and resumes proceedings on the Bill from the stage it reached on the last day of the sixth session of the Fifth Parliament.,Sincumo lesiluhlaka (Sosiswebhu weLicembu Lelibusako): Sekutsi Indlu ivusetele Umtsetfosivivinyo weKutfutfukisa Kufuya Tilwane neTitfombo Tasemantini [B 22 - 2018] (Libandla laVelonkhe –sigaba se-76) kanye nekucala futsi tinchubo letimayelana neMtsetfosivivinyo kuleso sigaba lebetikuso ngelusuku lwekugcina leseshini yePhalamende yeSihlanu.,March
ORDERS OF THE DAY:,TINHLELO TELUSUKU:,March
Debate in terms of Rule 130: The Coronavirus and the readiness of South Africa to deal with the pandemic – (Ms S Gwarube).,Inkhulumomphikiswano ngekulandzela Umtsetfo we-130: I-coronavirus kanye nekulungela kweNingizimu Afrika kubukana nalolubhubhane – (Mk. S Gwarube).,March
MOTIONS (contd.):,TISHUKUMISO (tiyachutjwa.):,March
Subject for discussion (Mr G G Mpumza): Strengthening Local Government for good governance.,Lokutawucocwa ngako (Mnu. G G Mpumza): Kucinisa Hulumende Wasekhaya kute kube nekubusa lokuhle.,March
FURTHER BUSINESS,UMSEBENTI LOCHUBEKAKO,March
ORDERS OF THE DAY:,TINHLOLO TELUSUKU:,March
"Consideration of Request for Approval by Parliament of Treaty between the Government of the Republic of South Africa and the Government of the Republic of Bangladesh on Extradition in terms of section 231(2) of Constitution, 1996 (Report of Portfolio Committee on Justice and Correctional Services, see Announcements, Tablings and Committee Reports, 3 March 2020, p 17).","Kucutjungulwa kweSicelo seKuvunywa yiPhalamende kweSivumelwane lesisemkhatsini waHulumende weRiphabhliki yaseNingizimu Afrika naHulumende weRiphabhliki yaseBangladesh lesimayelana nekulandvwa kwemuntfu eveni lakubo ayiswe eveni lente kulo bugebengu ngekwemibandzela yesigaba se-231(2) seMtsetfosisekelo, 1996 (Umbiko weLikomidi leLibandla laVelonkhe Letebulungiswa Nekucondziswa Kwesimilo, buka Timemetelo, Tetfulo neMibiko yeLikomidi, mhla ti-3 Indlovulenkhulu 2020, likh. le-17).",March
"Consideration of Request for Approval by Parliament of Treaty between the Government of the Republic of South Africa and the Government of the Republic of Bangladesh on Mutual Legal Assistance in Criminal Matters in terms of section 231(2) of Constitution, 1996 (Report of Portfolio Committee on Justice and Correctional Services, see Announcements, Tablings and Committee Reports, 3 March 2020, p 16).","Kucutjungulwa kweSicelo seKuvunywa yiPhalamende kweSivumelwane lesisemkhatsini waHulumende weRiphabhliki yaseNingizimu Afrika naHulumende weRiphabhliki yaseBangladesh lesimayelana neKusebentisana kuteMtsetfo etindzabeni teBugebengu ngekwemibandzela yesigaba se-231(2) seMtsetfosisekelo, 1996 (Umbiko weLikomidi leLibandla laVelonkhe Letebulungiswa Nekucondziswa Kwesimilo, buka Timemetelo, Tetfulo neMibiko yeLikomidi, mhla ti-3 Indlovulenkhulu 2020, likh. le-16).",March
"Consideration of Report of Portfolio Committee on Basic Education on South African Human Rights Commission Report on Investigative Hearing into Lack of Safety and Security Measures in Schools for Children with Disabilities in South Africa (Announcements, Tablings and Committee Reports, 3 March 2020, p 12).","Kucutjungulwa kweMbiko weLikomidi leLibandla laVelonkhe leTemfundvo Lesisekelo lomayelana neMbiko weKhomishini yeMalungelo eLuntfu yaseNingizimu Afrika mayelana neMhlanganoluphenyo mayelana neKweswelakala kweTimiso Tetekuphepha eTikolweni teBantfwana Labaphila neKukhubateka (Timemetelo, Tetfulo neMibiko yeLikomidi, mhla ti-3 Indlovulenkhulu 2020, likh. 12).",March
"Consideration of Report of Portfolio Committee on Basic Education on South African Human Rights Commission Report on Investigative Hearing into Status of Mental Health Care in South Africa (Announcements, Tablings and Committee Reports, 3 March 2020, p 4).","Kucutjungulwa kweMbiko weLikomidi leLibandla laVelonkhe leTemfundvo Lesisekelo lomayelana neMbiko weKhomishini yeMalungelo eLuntfu yaseNingizimu Afrika mayelana neMhlanganoluphenyo mayelana neSimo neKunakekelwa ngeTekuphila kahle kweNgcondvo lapha eNingizimu Afrika (Timemetelo, Tetfulo neMibiko yeLikomidi, mhla ti-3 Indlovulenkhulu 2020, likh. 4).",March
"Consideration of Defence Amendment Bill [B 18B – 2017] (National Assembly – sec 75) and of Report of Portfolio Committee on Defence and Military Veterans on amendments proposed by National Council of Provinces (Announcements, Tablings and Committee Reports, 28 February 2020, p 1).","Kucutjungulwa kweMtsetfosivivinyo weKuchitjelwa kweTekuvikela [B 18B – 2017] (Libandla laVelonkhe – sigaba se-75) kanye neMbiko weLikomidi leLibandla laVelonkhe leTekuvikela neTigayigayi teMphi mayelana netichibelo letiphakanyiswe nguMkhandlu waVelonkhe weTifundza (Timemetelo, Tetfulo kanye neMibiko yeLikomidi, mhla tinge-28 Lweti 2020, likh. le-1).",March
"Decision of Question on Report of Joint Standing Committee on Financial Management of Parliament on Parliament of Republic of South Africa’s 2019/20 Mid- Year Performance (Announcements, Tablings and Committee Reports, 9 December 2019, p 30).","Sincumo seMbuto lomayelana neMbiko weLikomidi leLimile leTindlu Totimbili lomayelana neLulawulo lweTetimali tePhalamende lomayelana neKusebenta kwaseKhatsi neMnyaka wa-2019/20 kwePhalamende yaseRiphabhliki yaseNingizimu Afrika (Timemetelo, Tetfulo neMibiko yeLikomidi, mhla ti-09 Ingongoni 2019, likh. le-30)",March
"Decision of Question on Report of Portfolio Committee on Higher Education, Science and Technology on National Student Financial Aid Scheme 2018/19 financial and service delivery performance (Announcements, Tablings and Committee Reports, 5 December 2019, p 52).","Sincumo seMbuto lomayelana neMbiko weLikomidi leSigungu savelonkhe Letemfundvo Lephakeme, Tesayensi neTheknoloji weSikimu saVelonkhe seKusita Bafundzi ngekweTimali ngemnyakatimali wanga-2018/19 kanye nemsebenti wekuletsa tinsita. (Timemetelo, Tetfulo neMibiko yeLikomidi, mhla ti-05 Ingongoni 2019, likh. le-52)",March
"Decision of Question on Report of Portfolio Committee on Higher Education, Science and Technology on Colloquium on funding of post-school education and training sector (Announcements, Tablings and Committee Reports, 5 December 2019, p 74).","Sincumo seMbuto lomayelana neMbiko weLikomidi leSigungu saVelonkhe Letemfundvo Lephakeme, Tesayensi Netheknoloji weNkhomfa Yekusita ngetimali tekufundza ngemuva kwekuphasa matekuletjeni nemkhakha wetekucecesha (Timemetelo, Tetfulo neMibiko yeLikomidi, mhla ti-05 Ingongoni 2019, likh. le-74)",March
"Consideration of Report of Portfolio Committee on Basic Education on Petition from the residents of Dryharts village, calling on the Assembly to investigate the re-opening of the Molehabangwe Middle School, submitted by Mr I S Seitlholo, MP (Announcements, Tablings and Committee Reports, 26 February 2020, p 38).","Kucutjungulwa kweMbiko weLokomidi leLibandla laVelonkhe leTemfundvo Lesisekelo mayelana neSikhalosicelo lesibuya kubahlali besigodzi saseDryharts, bacela Libandla kutsi liphenye ngekuphindza kuvulwa kweSikolwa iMolehabangwe Middle School, Singeniswe nguMnu. I S Seitlholo, Lilunga lePhalamende Timemetelo, Tetfulo neMibiko yeMakomidi, mhla tinge-26 Indlovulencane 2020, likh. le-38.",March
"Consideration of Report of Portfolio Committee on Basic Education on oversight visit to Capricorn and Sekhukhune Education Districts, Limpopo Province (Announcements, Tablings and Committee Reports, 26 February 2020, p 6).","Kucutjungulwa kweMbiko weLokomidi leLibandla laVelonkhe Letemfundvo Lesisekelo mayelana neluvakasho lwetekwengamela lwekuya eTigodzini teteMfundvo eCapricorn naseSekhukhune, kuSifundza saseLimpopo (Timemetelo, Tetfulo neMibiko yeMakomidi, mhla tinge-26 Indlovulencane 2020, likh. 6).",March
"Consideration of National Land Transport Amendment Bill [B 7D – 2016] (National Assembly – sec 76) and of Report of Portfolio Committee on Transport thereon (Announcements, Tablings and Committee Reports, 26 February 2020, p 5).","Kucutjungulwa kweMtsetfosivivinyo weTitfutsi teMgwaco taVelonkhe [B 7D – 2016] (Libandla laVelonkhe – sigaba se-76) neMbiko weLikomidi leLibandla laVelonkhe leteTitfutsi (Timemetelo, Tetfulo neMibiko, mhla tinge-26 Indlovulencane 2020, likh. 5).",March
"Consideration of Report of Portfolio Committee on Basic Education on Submission from the Griqua People’s Heritage on the lack of a Primary School (Announcements, Tablings and Committee Reports, 11 February 2020, p 5).","Kucutjungulwa kweMbiko weLikomidi leLibandla laVelonkhe leTekutfutsa weTemfundvo Lesisekelo lomayelana neSetfulo lesibuya kuteMagugu neMafa emaGriqua lesimayelana nekungabikhona kweSikolo seMabanga Laphasi (Timemetelo, Tetfulo neMibiko yeLikomidi, mhla ti-11 Indlovulencane 2020, likh. le-5)",March
