eng,tso,source
National Gambling Amendment Bill [B 27B – 2018] (National Assembly – sec 76).,National Gambling Amendment Bill [B 27B – 2018] (National Assembly – sec 76).,June
Science and Technology Laws Amendment Bill [B 42B  2018] (National Assembly – sec 75).,Science and Technology Laws Amendment Bill [B 42B  2018] (National Assembly – sec 75).,June
Recognition of Customary Marriages Amendment Bill [B 12 - 2019] (National Assembly – sec 76).,Recognition of Customary Marriages Amendment Bill [B 12 - 2019] (National Assembly – sec 76).,June
Judicial Matters Amendment Bill [B 13B - 2019] (National Assembly – sec 75).,Judicial Matters Amendment Bill [B 13B - 2019] (National Assembly – sec 75).,June
Prescription in Civil and Criminal Matters (Sexual Offences) Amendment Bill [B 22B - 2019] (National Assembly – sec 75).,Prescription in Civil and Criminal Matters (Sexual Offences) Amendment Bill [B 22B - 2019] (National Assembly – sec 75).,June
INTERNATIONAL AGREEMENTS,INTERNATIONAL AGREEMENTS,June
"Agreement between the Government of the Republic of South Africa and the International Centre for Genetic Engineering and Biotechnology (ICGEB) on the Establishment of an International Centre for Genetic Engineering and Biotechnology (ICGEB) Component in the Republic of South Africa (Tabled on 18 September 2019) (NA: Referred to Portfolio Committee on Higher Education, Science and Technology on 19 September 2019 - reported on 5 December 2019 – approved on 10 March 2020) (NCOP: Referred to Select Committee on Education and Technology, Sports, Arts and Culture on 19 November 2019 – reported on 26 May 2020).","Agreement between the Government of the Republic of South Africa and the International Centre for Genetic Engineering and Biotechnology (ICGEB) on the Establishment of an International Centre for Genetic Engineering and Biotechnology (ICGEB) Component in the Republic of South Africa (Tabled on 18 September 2019) (NA: Referred to Portfolio Committee on Higher Education, Science and Technology on 19 September 2019 - reported on 5 December 2019 – approved on 10 March 2020) (NCOP: Referred to Select Committee on Education and Technology, Sports, Arts and Culture on 19 November 2019 – reported on 26 May 2020).",June
"Ratification of the Agreement between the Government of the Republic of India, the Government of the Federative Republic of Brazil and the Government of the Republic of South Africa on the IBSA Fund for the Alleviation of Poverty and Hunger (signed 17 October 2017) (Tabled on 18 October 2019) (NA: Referred to Portfolio Committee on International Relations and Cooperation on 22 October 2019) (NCOP: Referred to Select Committee on Security and Justice on 24 October 2019).","Ratification of the Agreement between the Government of the Republic of India, the Government of the Federative Republic of Brazil and the Government of the Republic of South Africa on the IBSA Fund for the Alleviation of Poverty and Hunger (signed 17 October 2017) (Tabled on 18 October 2019) (NA: Referred to Portfolio Committee on International Relations and Cooperation on 22 October 2019) (NCOP: Referred to Select Committee on Security and Justice on 24 October 2019).",June
Agreement between the Government of the Republic of South Africa and the European Atomic Energy Community (EURATOM) for Co-operation in the Peaceful Uses of Nuclear Energy (Tabled on 14 November 2019) (NA: Referred to Portfolio Committee on Mineral Resources and Energy on 18 November 2019).,Agreement between the Government of the Republic of South Africa and the European Atomic Energy Community (EURATOM) for Co-operation in the Peaceful Uses of Nuclear Energy (Tabled on 14 November 2019) (NA: Referred to Portfolio Committee on Mineral Resources and Energy on 18 November 2019).,June
Treaty between the Government of the Republic of South Africa and the Government of the United Mexican States on Mutual Legal Assistance in Criminal Matters (Tabled on 5 March 2020) (NA: Referred to Portfolio Committee on Justice and Correctional Services on 9 March 2020 – reported on 29 May 2020 – approved on 17 June 2020) (NCOP: Referred to Select Committee on Security and Justice on 10 March 2020 – reported on 1 June 2020).,Treaty between the Government of the Republic of South Africa and the Government of the United Mexican States on Mutual Legal Assistance in Criminal Matters (Tabled on 5 March 2020) (NA: Referred to Portfolio Committee on Justice and Correctional Services on 9 March 2020 – reported on 29 May 2020 – approved on 17 June 2020) (NCOP: Referred to Select Committee on Security and Justice on 10 March 2020 – reported on 1 June 2020).,June
Treaty between the Government of the Republic of South Africa and the Government of the United Mexican States on Extradition (Tabled on 5 March 2020) (NA: Referred to Portfolio Committee on Justice and Correctional Services on 9 March 2020 – reported on 29 May 202 0– approved on 17 June 2020) (NCOP: Referred to Select Committee on Security and Justice on 10 March 2020 – reported on 1 June 2020).,Treaty between the Government of the Republic of South Africa and the Government of the United Mexican States on Extradition (Tabled on 5 March 2020) (NA: Referred to Portfolio Committee on Justice and Correctional Services on 9 March 2020 – reported on 29 May 202 0– approved on 17 June 2020) (NCOP: Referred to Select Committee on Security and Justice on 10 March 2020 – reported on 1 June 2020).,June
African Charter on Statistics (Tabled on 5 March 2020) (NA: Referred to Portfolio Committee on Public Service and Administration on 9 March 2020).,African Charter on Statistics (Tabled on 5 March 2020) (NA: Referred to Portfolio Committee on Public Service and Administration on 9 March 2020).,June
Treaty of Amity and Cooperation (TAC) in South East Asia (Tabled on 18 March 2020) (NA: Referred to Portfolio Committee on International Relations and Cooperation on 26 March 2020 – reported on 11 June 2020 – approved on 17 June 2020).,Treaty of Amity and Cooperation (TAC) in South East Asia (Tabled on 18 March 2020) (NA: Referred to Portfolio Committee on International Relations and Cooperation on 26 March 2020 – reported on 11 June 2020 – approved on 17 June 2020).,June
MOTIONS:,TIMOXINI:,June
"Draft resolution (Chief Whip of the Majority Party): That the House, notwithstanding Rule 27 on the election of temporary presiding officer, elects Mr Q R Dyantyi and Ms T Mahambehlala to act as temporary presiding officers in the chamber during hybrid sittings of the National Assembly, as and when necessary, for the duration of the 2020 annual session.","Xiboho xa mpfapfarhuto (Ximokonkulu xa Vandla leri Fumaka): Leswaku Yindlu, handle ko tsan’wa Nawu wa 27 eka mahlawulelo ya vaofisara lava rhangelaka nhlawulo, yi hlawula Tatana Q R Dyantyi na Manana T Mahambehlala ku khomela tanihi vaofisara lava rhangelaka nhlawulo va nkarhinyana eka Yindlu hi nkarhi wa mintshamo ya nhlanganelo ya Huvo ya Rixaka, loko swi fanerile, eka nkarhi wa sexini ya lembe ra 2020.",June
Draft resolution (Chief Whip of the Majority Party): That the House –,Xiboho xa nkarhinyana (Ximokonkulu xa Vandla leri Fumaka): Leswaku Huvo –,June
notes that –,Yi lemuka leswaku –,June
on 25 July 2019 an Ad Hoc Committee to initiate and introduce legislation amending section 25 of the Constitution was established and mandated to complete its task and report to the House by 31 March 2020;,hi ti 25 Mawuwani 2019 Komiti ya Nkarhinyana yo sungula no tivisa nawu lowu cincaka xiyenge xa 25 xa Vumbiwa yi tumbuluxiwile no nyikiwa matimba yo hetisa ntirho wa yona no vikela Huvo hi ti 31 Nyanyankulu 2020;,June
"on 5 March 2020, the Assembly extended the deadline for reporting to 29 May 2020;","hi ti 5 Nyenyankulu 2020, Huvo yi engetele nkarhi wo vika hawona ku ya eka siku ra ti 29 Mudyaxihi 2020;",June
the Ad Hoc Committee ceased to exist on 29 May 2020 before it could complete its mandate;,Komit ya Nkarhinyana yi hetelele ku tirha hi ti 29 Mudyaxihi 2020 yi nga se heta ntirho wa yona;,June
"re-establishes the Ad Hoc to initiate and introduce legislation amending section 25 of the Constitution with the same composition and powers as its predecessor (Minutes of Proceedings, 25 July 2019, p 68);","yi tlhela yi tumbuluxa Huvo ya Nkarhinyana ku sungula no tivisa nawu lowu cincaka xiyenge xa 25 xa vumbiwa leyi nga ta vumbiwa no va na matimba ku fana na huvo leya khale (Makanelwa ya Mafambiselo, 25 Mawuwani 2019, p 68);",June
instructs the Committee to incorporate in its work the proceedings and all the work of the previous committee up to and including 29 May 2020; and,"yi lerisa Komiti leswaku eka ntirho wa yona, yi nghenisa mafambiselo na ntirho hinkwawo wa komiti leyi nga hundza ku fikela no katsa 29 Mudyaxihi 2020;",June
sets the deadline by which the Committee is to report to 31 December 2020.,yi veka siku leri Komiti yi faneleke ku vika ha rona ku va 31 N’wendzamhala 2020.,June
ORDERS OF THE DAY:,MINONGONOKO YA SIKU:,June
Debate in terms of Rule 130: The scourge of gender-based violence against women and femicide – (Ms N V Mente).,Njhekanjhekisano hi ku landza Nawu wa 130: Nhlomulo wa madzolonga ya swa rimbewu ehenhla ka vavasati no dlawa ka vaxisati hi vavanuna – (Manana N V Mente).,June
"Consideration of Report of Portfolio Committee on Justice and Correctional Services on Notices determining remuneration of Public Protector and Commissioners of South African Human Rights Commission with effect from 1 April 2019 (Announcement, Tablings and Committee Reports, 22 June 2020, p 15).","Ku tekeriwa enhlokweni ka Xiviko xa Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Vululami na Vukorhokeri bya Makhotso hi mayelana na Switiviso leswi bohaka muholo wa Musirheleri wa Vaaki na Vakhomixinara va Khomixini ya Timfanelo ta Ximunhu ya Afrika-Dzonga kusukela hi ti 1 Dzivamisoko 2019 (Switiviso, Leswi andlariweke na Swiviko swa Komiti, 22 Khotavuxika 2020, papila ra 15).",June
