eng,ven,source
"Air Traffic and Navigation Services Company Amendment Bill [B 6B – 2018] (National Assembly – sec 75) – (Select Committee on Transport, Public Service and Administration, Public Works and Infrastructure – National Council of Provinces).","Mulayotibe wa Khwiniso ya Khamphani ya Tshumelo dza Vhuendi ha Muyani na u Wana Nḓila [B 6B – 2018] (Buthano ḽa Lushaka – khet ya 75) – (Komiti ya NCOP nga ha Vhuendi, Tshumelo ya Tshitshavha na Vhulanguli, Mishumo ya Tshitshavha na Themamveledziso – Khoro ya Lushaka ya Mavundu).",June
Social Assistance Amendment Bill [B 8B - 2018] (National Assembly – sec 76) – (Select Committee on Health and Social Services – National Council of Provinces).,Mulayotibe wa Khwiniso ya u Ṱhaḓula ha Matshilisano [B 8B – 2018] (Buthano ḽa Lushaka – khet ya 76) – (Komiti ya NCOP nga ha Mutakalo na Tshumelo dza Matshilisano – Khoro ya Lushaka ya Mavundu).,June
Prevention of Hate Crimes and Hate Speech Bill [B 9 – 2018] (National Assembly – sec 75) – (Portfolio Committee on Justice and Correctional Services – National Assembly).,Mulayotibe wa Thivhelo ya Vhugevhenga ha Vengo na Tshipitshi tsho Ḓalaho Vengo [B 9 – 2018] (Buthano ḽa Lushaka – khet ya 75) – (Komiti ya Phothifoḽio nga ha Vhulamukanyi na Tshumelo dza Vhululamisi – Buthano ḽa Lushaka).,June
State Liability Amendment Bill [B 16 – 2018] (National Assembly – sec 75) – (Portfolio Committee on Justice and Correctional Services – National Assembly).,Mulayotibe wa Khwiniso ya Vhuḓifhinduleli ha Muvhuso [B 16 – 2018] (Buthano ḽa Lushaka – khet ya 75) – (Komiti ya Phothifoḽio nga ha Vhulamukanyi na Tshumelo dza Ndulamiso – Buthano ḽa Lushaka).,June
"Local Government: Municipal Structures Amendment Bill [B 19B – 2018] (National Assembly – sec 76) – (Select Committee on Cooperative Governance and Traditional Affairs, Water and Sanitation and Human Settlements – National Council of Provinces).","Muvhuso Wapo: Mulayotibe wa Khwiniso ya Zwiṱirakhitsha zwa Masipala [B 19B – 2018] (Buthano ḽa Lushaka – khet ya 76) – (Komiti ya NCOP nga ha Vhuvhusi ha Vhushumisani na zwa Sialala, Maḓi na Tshampungane na Vhudzulo ha Vhathu – Khoro ya Lushaka ya Mavundu).",June
South African Reserve Bank Bill [B 26 – 2018] (National Assembly – sec 75) – (Standing Committee on Finance – National Assembly).,Mulayotibe wa Bannga ya Lushaka ya Afrika Tshipembe [B 26 – 2018] (Buthano ḽa Lushaka – khet ya 75) – (Komiti ya Tshoṱhe nga ha Masheleni – Buthano ḽa Lushaka).,June
"National Gambling Amendment Bill [B 27B – 2018] (National Assembly – sec 76) – (Select Committee on Trade and Industry, Economic Development, Small Business Development, Tourism, Labour and Employment – National Council of Provinces).","Mulayotibe wa Khwiniso ya u Gembula ha Lushaka [B 27B – 2018] (Buthano ḽa Lushaka – khet ya 76) – (Komiti ya NCOP nga ha Mbambadzo na Nḓowetshumo, Mveledziso ya Ikonomi, Mveledziso ya Mabindu Maṱuku, Vhuendelamashango, U tholiwa na Mishumo – Khoro ya Lushaka ya Mavundu).",June
National Health Amendment Bill [B 29 – 2018] (National Assembly – sec 76) – (Portfolio Committee on Health – National Assembly).,Mulayotibe wa Khwiniso ya Mutakalo wa Lushaka [B 29 – 2018] (Buthano ḽa Lushaka – khet ya 76) – (Komiti ya Phothifoḽio nga ha Mutakalo – Buthano ḽa Lushaka).,June
Public Finance Management Amendment Bill [B 41  2018] (National Assembly – sec 76) – (Standing Committee on Finance – National Assembly).,Mulayotibe wa Khwiniso ya Ndangulo ya zwa Masheleni a Tshitshavha [B 41  2018] (Komiti ya Tshoṱhe nga ha Masheleni – Buthano ḽa Lushaka).,June
Civil Aviation Amendment Bill [B 44 – 2018] (National Assembly – sec 75) – (Portfolio Committee on Transport – National Assembly).,Mulayotibe wa Khwiniso ya Ḓivhavhufhufhi ha Vhapo [B 44 – 2018] (Buthano ḽa Lushaka – khet ya 75) – (Komiti ya Phothifoḽio nga ha Vhuendi – Buthano ḽa Lushaka).,June
Local Government: Municipal Systems Amendment Bill [B 2 – 2019] (National Assembly – sec 76) – (Portfolio Committee Cooperative Government and Traditional Affairs – National Assembly).,Muvhuso Wapo: Mulayotibe wa Khwiniso ya Sisteme dza Masipala [B 2 – 2019] (Buthano ḽa Lushaka – khet ya 76) – (Komiti ya Phothifoḽio nga Muvhuso wa Vhushumisani na zwa Sialala – Buthano ḽa Lushaka).,June
National Health Insurance Bill [B 11 - 2019] (National Assembly – sec 76) – (Portfolio Committee on Health – National Assembly).,Mulayotibe wa Ndindakhombo ya Mutakalo wa Lushaka [B 11 - 2019] (Buthano ḽa Lushaka – khet ya 76) – (Komiti ya Phothifoḽio nga ha Mutakalo – Buthano ḽa Lushaka).,June
Recognition of Customary Marriages Amendment Bill [B 12 - 2019] (National Assembly – sec 76) – (Select Committee on Security and Justice – National Council of Provinces).,Mulayotibe wa Khwiniso Nṱha ha Mbingano dza Sialala [B 12 - 2019] (Buthano ḽa Lushaka – khet ya 76) – (Komiti ya NCOP nga Tsireledzo na Vhulamukanyi – Khoro ya Lushaka ya Mavundu).,June
Judicial Matters Amendment Bill [B 13B - 2019] (National Assembly – sec 75) – (Select Committee on Security and Justice - National Council of Provinces).,Mulayotibe wa Khwiniso ya Mafhungo a Khaṱhulo [B 13B - 2019] (Buthano ḽa Lushaka – khet ya 75) – (Komiti ya NCOP nga ha Tsireledzo na Vhulamukanyi – Khoro ya Lushaka ya Mavundu).,June
Independent Electricity Management Operator Bill [B 14 - 2019] (National Assembly – sec 76) – (Portfolio Committee on Mineral Resources and Energy – National Assembly).,Mulayotibe wa Ndangulo ya Mushuma nga Muḓagasi o Ḓiimisaho nga Eṱhe [B 14  2019] (Buthano ḽa Lushaka – khet ya 76) – (Komiti ya Phothifoḽio nga ha Zwiko zwa Minerala na Fulufulu – Buthano ḽa Lushaka).,June
Prescription in Civil and Criminal Matters (Sexual Offences) Amendment Bill [B 22B - 2019] (National Assembly – sec 75) – (Select Committee on Security and Justice – National Council of Provinces).,Mulayotibe wa Khwiniso ya u Fhelelwa nga Tshifhinga ha Mafhungo a Siviḽi na a Vhugevhenga (Milandu ya zwa Vhudzekani) [B 22B - 2019] (Buthano ḽa Lushaka – khet ya 75) – (Komiti ya NCOP nga ha Tsireledzo na Vhulamukanyi – Khoro ya Lushaka ya Mavundu).,June
Economic Regulation of Transport Bill [B 1 - 2020] (National Assembly– sec 76) – (Portfolio Committee on Transport – National Assembly).,Mulayotibe wa Matshimbidzele a Ikonomi ya Vhuendi [B 1 - 2020] (Buthano ḽa Lushaka – khet ya 76) – (Komiti ya Phothifoḽio nga ha Vhuendi – Buthano ḽa Lushaka).,June
Auditing Profession Amendment Bill [B 2 - 2020] (National Assembly – sec 75) – (Standing Committee on Finance – National Assembly).,Mulayotibe wa Khwiniso ya Phurofesheni ya U Oditha [B 2 - 2020] (Buthano ḽa Lushaka – khet ya 75) – (Komiti ya Tshoṱhe nga ha Masheleni – Buthano ḽa Lushaka).,June
Fiscal Responsibility Bill [B 5 - 2020] (National Assembly – sec 76) – (Standing Committee on Finance – National Assembly).,Mulayotibe wa Vhuḓifhinduleli ha Muvhalelano [B 5 - 2020] (Buthano ḽa Lushaka – khet ya 76) – (Komiti ya Tshoṱhe nga ha Masheleni – Buthano ḽa Lushaka).,June
"Upgrading of Land Tenure Rights Amendment Bill [B 6 - 2020] (National Assembly – proposed sec 76) – (Portfolio Committee on Agriculture, Land Reform and Rural Development – National Assembly).","U Khwiniswa ha Mulayotibe wa Khwiniso ya Pfanelo dza Vhuṋe ha Mavu [B 6 - 2020] (Buthano ḽa Lushaka – khet ya 76 yo dzinginywaho 76) – (Komiti ya Phothifoḽio nga ha Vhulimi, Mbuedzedzo ya Mavu na Mveledziso ya Mahayani – Buthano ḽa Lushaka).",June
National Road Traffic Amendment Bill [B7-2020] (National Assembly – proposed sec 76) – (Portfolio Committee on Transport – National Assembly).,Mulayotibe wa Khwiniso ya Vhuendi ha Badani ha Lushaka [B7-2020] (Buthano ḽa Lushaka – khet ya 76 yo dzinginywaho 76) – (Komiti ya Phothifoḽio nga ha Vhuendi – Buthano ḽa Lushaka).,June
Transport Appeal Tribunal Amendment Bill [B8-2020] (National Assembly – proposed sec 76) – (Portfolio Committee on Transport – National Assembly).,Mulayotibe wa Khwiniso ya Ṱhiraibunala ya Aphiḽi ya Vhuendi [B8-2020] (Buthano ḽa Lushaka – khet ya 76 yo dzinginywaho 76) – (Komiti ya Phothifoḽio nga ha Vhuendi – Buthano ḽa Lushaka).,June
BILLS RETURNED TO ASSEMBLY FOR CONSIDERATION OF PRESIDENT’S RESERVATIONS,MILAYOTIBE YO HUMISELWAHO KHA BUTHANO URI HU DZHIELWE NZHELE U SA FUSHEA HA MUPHURESIDENNDE,June
Protection of State Information Bill [B 6H – 2010] (National Assembly – sec 75).,Mulayotibe wa Khwiniso ya Zwibveledzwa zwa Zwikambi [B 10B – 2016] (Buthano ḽa Lushaka – khet ya 75).,June
Liquor Products Amendment Bill [B 10B – 2016] (National Assembly – sec 75).,Mulayotibe wa Tsireledzo ya Mafhungo a Muvhuso [B 6H – 2010] (Buthano ḽa Lushaka – khet ya 75).,June
Performers’ Protection Amendment Bill [B24B - 2016] (National Assembly – sec 75).,Mulayotibe wa Khwiniso ya Tsireledzo ya Vhamvumvusi [B24B - 2016] (Buthano ḽa Lushaka – khet ya 75).,June
Copyright Amendment Bill [B13B - 2017] (National Assembly – sec 75).,Mulayotibe wa Khwiniso ya Nzivhanyedziso [B13B - 2017] (Buthano ḽa Lushaka – khet ya 75).,June
BILLS PASSED BY NATIONAL ASSEMBLY AND TRANSMITTED TO NATIONAL COUNCIL OF PROVINCES FOR CONCURRENCE,MILAYOTIBE YO PHASISWAHO NGA BUTHANO ḼA LUSHAKA YA FHIRISELWA KHA KHORO YA LUSHAKA YA MAVUNDU URI I TENDELANIWE NGAYO,June
Traditional Courts Bill [B 1B – 2017] (National Assembly – sec 76).,Mulayotibe wa Khothe dza Sialala [B 1B – 2017] (Buthano ḽa Lushaka – khet ya 76).,June
Cybercrimes Bill [B 6B – 2017] (National Assembly – sec 75) (introduced as Cybercrimes and Cybersecurity Bill [B 6 – 2017]).,Mulayotibe wa Vhugevhenga vhu Itwaho nga Inthanethe [B 6B – 2017] (Buthano ḽa Lushaka – khet ya 75).,June
Airports Company Amendment Bill [B 5B – 2018] (National Assembly – sec 75).,Mulayotibe wa Khwiniso ya Khamphani ya Vhukavhamabufho [B 5B – 2018] (Buthano ḽa Lushaka – khet ya 75).,June
Air Traffic and Navigation Services Company Amendment Bill [B 6B – 2018] (National Assembly – sec 75).,Mulayotibe wa Khwiniso ya Khamphani ya Tshumelo dza Vhuendi ha Muyani na u Wana Nḓila [B 6B – 2018] (Buthano ḽa Lushaka – khet ya 75).,June
Social Assistance Amendment Bill [B 8B - 2018] (National Assembly – sec 76).,Mulayotibe wa Khwiniso ya u Ṱhaḓula kha Matshilisano [B 8B - 2018] (Buthano ḽa Lushaka – khet ya 76).,June
Civil Union Amendment Bill [B 11B – 2018] (National Assembly – sec 75).,Mulayotibe wa Khwiniso ya Mbingano ya Vhathu vha Mbeu Nthihi [B 11B – 2018] (Buthano ḽa Lushaka – khet ya 75).,June
Local Government: Municipal Structures Amendment Bill [B 19B – 2018] (National Assembly – sec 76).,Muvhuso Wapo: Mulayotibe wa Khwiniso ya Zwiṱirakhitsha zwa Masipala [B 19B – 2018] (Buthano ḽa Lushaka – khet ya 76).,June
National Gambling Amendment Bill [B 27B – 2018] (National Assembly – sec 76).,Mulayotibe wa Khwiniso ya u Gembula wa Lushaka [B 27B – 2018] (Buthano ḽa Lushaka – khet ya 76).,June
Science and Technology Laws Amendment Bill [B 42B  2018] (National Assembly – sec 75).,Mulayotibe wa Khwiniso ya Milayo ya Saintsi na Thekhinoḽodzhi [B 42B – 2018] (Buthano ḽa Lushaka – khet ya 75).,June
Recognition of Customary Marriages Amendment Bill [B 12 - 2019] (National Assembly – sec 76).,Mulayotibe wa Khwiniso ya u Dzhielwa Nṱha ha Mbingano dza Sialala [B 12 - 2019] (Buthano ḽa Lushaka – khet ya 76).,June
Judicial Matters Amendment Bill [B 13B - 2019] (National Assembly – sec 75).,Mulayotibe wa Khwiniso ya Mafhungo a Khaṱhulo [B 13B - 2019] (Buthano ḽa Lushaka – khet ya 75).,June
Prescription in Civil and Criminal Matters (Sexual Offences) Amendment Bill [B 22B - 2019] (National Assembly – sec 75).,Mulayotibe wa Khwiniso ya u Fhelelwa nga Tshifhinga ha Mafhungo a Siviḽi na a Vhugevhenga (Milandu ya zwa Vhudzekani) [B 22B - 2019] (Buthano ḽa Lushaka  – khet ya 75).,June
INTERNATIONAL AGREEMENTS,THENDELANO DZA DZITSHAKA,June
"Agreement between the Government of the Republic of South Africa and the International Centre for Genetic Engineering and Biotechnology (ICGEB) on the Establishment of an International Centre for Genetic Engineering and Biotechnology (ICGEB) Component in the Republic of South Africa (Tabled on 18 September 2019) (NA: Referred to Portfolio Committee on Higher Education, Science and Technology on 19 September 2019 - reported on 5 December 2019 – approved on 10 March 2020) (NCOP: Referred to Select Committee on Education and Technology, Sports, Arts and Culture on 19 November 2019 – reported on 26 May 2020).","Thendelano vhukati ha Muvhuso wa Riphabuḽiki ya Afrika Tshipembe na Senthara ya Dzitshaka ya zwa Vhuinzhiniere ha Dzhenetiki na Bayothekhinoḽodzhi (ICGEB) nga ha u Thomiwa ha Tshipiḓa tsha Tshiimiswa tsha Senthara ya Dzitshaka ya zwa Vhuinzhiniere ha Dzhenetiki na Bayothekhinoḽodzhi (ICGEB) kha Riphabuḽiki ya Afrika Tshipembe (Yo swikiswa ṱafulani nga ḽa 18 Khubvumedzi 2019). (NA: Ya fhiriselwa kha Komiti ya Phothifoḽio nga ha Pfunzo ya Nṱha, Saintsi na Thekhinoḽodzhi nga ḽa 19 Khubvumedzi 2019 – ya vhigwa ngayo nga ḽa 5 Nyendavhusiku 2019 – ya themendelwa nga ḽa  10 Ṱhafamuhwe 2020) (NCOP: Ya Fhiriselwa kha Komiti ya NCOP nga ha Pfunzo na Thekhinoḽodzhi, Mitambo, Vhutsila na Mvelele nga ḽa 19 Lara 2019 – yo vhigiwa nga ḽa 26 Shundunthule 2020).",June
"Ratification of the Agreement between the Government of the Republic of India, the Government of the Federative Republic of Brazil and the Government of the Republic of South Africa on the IBSA Fund for the Alleviation of Poverty and Hunger (signed 17 October 2017) (Tabled on 18 October 2019) (NA: Referred to Portfolio Committee on International Relations and Cooperation on 22 October 2019) (NCOP: Referred to Select Committee on Security and Justice on 24 October 2019).","2. Khwaṱhisedzo ya Thendelano vhukati ha Muvhuso wa Riphabuḽiki ya India, Muvhuso wa zwa Federaḽa wa Riphabuḽiki ya Brazil na Muvhuso wa Riphabuḽiki ya Afrika Tshipembe kha Tshikwama tsha IBSA tsha Phungudzo ya Vhushai na Nḓala (yo sainwa nga ḽa 17 Tshimedzi 2017) (Yo swikiswa ṱafulani nga ḽa 18 Tshimedzi 2019) (NA: Ya fhiriselwa kha Komiti ya Phothifoḽio nga ha Vhushaka ha Dzitshaka na Vhushumisani nga ḽa 22 Tshimedzi 2019) (NCOP: Ya fhiriselwa kha Komiti ya NCOP nga ha Tsireledzo na Vhulamukanyi nga ḽa 24 Tshimedzi 2019).",June
Agreement between the Government of the Republic of South Africa and the European Atomic Energy Community (EURATOM) for Co-operation in the Peaceful Uses of Nuclear Energy (Tabled on 14 November 2019) (NA: Referred to Portfolio Committee on Mineral Resources and Energy on 18 November 2019).,3. Thendelano vhukati ha Muvhuso wa Riphabuḽiki ya Afrika Tshipembe na European Atomic Energy Community (EURATOM) ya Vhushumisani kha u Shumisa nga Mulalo ha Fulufulu ḽa Nuklia (Yo swikiswa ṱafulani nga ḽa 14 Lara 2019) (NA:  Ya fhiriselwa kha Komiti ya Phothifoḽio nga ha Zwiko zwa Minerala na Fulufulu nga ḽa 18 Lara 2019).,June
Treaty between the Government of the Republic of South Africa and the Government of the United Mexican States on Mutual Legal Assistance in Criminal Matters (Tabled on 5 March 2020) (NA: Referred to Portfolio Committee on Justice and Correctional Services on 9 March 2020 – reported on 29 May 2020 – approved on 17 June 2020) (NCOP: Referred to Select Committee on Security and Justice on 10 March 2020 – reported on 1 June 2020).,4.  Mulangano vhukati ha Muvhuso wa Riphabuḽiki ya Afrika Tshipembe na Muvhuso wa United Mexican States nga ha Thuso ya Mulayo wa Vhugevhenga kha Masia Oṱhe (Wo Swikiswa Ṱafulani nga ḽa 5 Ṱhafamuhwe 2020). (NA: Wa fhiriselwa kha Komiti ya Phothifoḽio nga ha Vhulamukanyi na Tshumelo dza Vhululamisi nga ḽa 9 Ṱhafamuhwe 2020) (NCOP: Wa fhiriselwa kha Komiti ya NCOP nga ha Tsireledzo na Vhulamukanyi nga ḽa 10 Ṱhafamuhwe 2020 – yo vhigiwa nga ḽa 1 Fulwi  2020).,June
Treaty between the Government of the Republic of South Africa and the Government of the United Mexican States on Extradition (Tabled on 5 March 2020) (NA: Referred to Portfolio Committee on Justice and Correctional Services on 9 March 2020 – reported on 29 May 202 0– approved on 17 June 2020) (NCOP: Referred to Select Committee on Security and Justice on 10 March 2020 – reported on 1 June 2020).,5. Mulangano vhukati ha Muvhuso wa Riphabuḽiki ya Afrika Tshipembe na Muvhuso wa United Mexican States nga ha U isa Tshigevhenga kha shango ḽe tsha tshinya hone (Wo Swikiswa Ṱafulani nga ḽa 5 Ṱhafamuhwe 2020) (NA: Wa fhiriselwa kha Komiti ya Phothifoḽio nga ha Vhulamukanyi na Tshumelo dza Vhululamisi nga ḽa 9 Ṱhafamuhwe 2020 – wo vhigiwa nga ḽa 29 Shundunthule 2020) (NCOP: Wa fhiriselwa kha Komiti ya NCOP nga ha Tsireledzo na Vhulamukanyi nga ḽa 10 Ṱhafamuhwe 2020 – wo vhigiwa nga ḽa 1 Fulwi 2020).,June
African Charter on Statistics (Tabled on 5 March 2020) (NA: Referred to Portfolio Committee on Public Service and Administration on 9 March 2020).,6. Tshata ya Afrika nga ha Dzimbalombalo (Yo Swikiswa Ṱafulani nga ḽa 5 Ṱhafamuhwe 2020) (NA: Ya fhiriselwa kha Komiti ya Phothifoḽio nga ha Tshumelo ya Tshitshavha na Ndaulo nga ḽa 9 Ṱhafamuhwe 2020).,June
Treaty of Amity and Cooperation (TAC) in South East Asia (Tabled on 18 March 2020) (NA: Referred to Portfolio Committee on International Relations and Cooperation on 26 March 2020 – reported on 11 June 2020 – approved on 17 June 2020).,7. Thendelano ya Vhukonani na Vhushumisani (TAC) ngei Tshipembe Vhubvaḓuvha ha Asia (Yo swikiswa ṱafulani nga ḽa 18 Ṱhafamuhwe 2020) (NA: Yo fhiriselwa  kha Komiti ya Phothifoḽio nga ha Vhushaka ha Dzitshaka na Vhushumisani nga ḽa 26 Ṱhafamuhwe 2020 – ya vhigiwa ngayo nga ḽa 11 Fulwi 2020 – ya themendelwa nga ḽa 17 Fulwi 2020).,June
