eng,nbl,source
"Airports Company Amendment Bill [B 5B – 2018] (National Assembly – sec 75) – (Select Committee on Transport, Public Service and Administration, Public Works and Infrastructure – National Council of Provinces).","Isikhibelelo somThethomlingwa weKampani yamaDoyelo wezeMoyeni [i-B 5B – 2018] (iNdlu yesiBathamthetho seNarha – isig 75) – (iKomidi eKhethekileko yezokuThutha, imiSebenzi yomPhakathi nokuLawulo, imiSebenzi yoMphakathi nomThangalasisekelo – iNdlu yomKhandlu weNarha oNgamele iimFunda).",August
"Air Traffic and Navigation Services Company Amendment Bill [B 6B – 2018] (National Assembly – sec 75) – (Select Committee on Transport, Public Service and Administration, Public Works and Infrastructure – National Council of Provinces).","IsiKhibelelo somThethomlingwa weenThuthu zeMoyeni nemiSebenzi yezokuPhapha [i-B 6B – 2018] (iNdlu yesiBathamthetho seNarha – isig 75) – (iKomidi eKhethekileko yezokuThutha, imiSebenzi yomPhakathi nokuLawulo, imiSebenzi yoMphakathi nomThangalasisekelo – iNdlu yomKhandlu weNarha oNgamele iimFunda)",August
Social Assistance Amendment Bill [B 8B - 2018] (National Assembly – sec 76) – (Select Committee on Health and Social Services – National Council of Provinces).,IsiKhibelelo somThethomlingwa weSizo lezeHlalakuhle [i-B 8B - 2018] (iNdlu yesiBethamthetho seNarha – isg 76) – (iKomidi eKhethekileko yesiBethamtetho seNarha nomSebenzi wezeHlalakuhle – umKhandlu weNarha oNgamele iimFunda).,August
Prevention of Hate Crimes and Hate Speech Bill [B 9 – 2018] (National Assembly – sec 75) – (Portfolio Committee on Justice and Correctional Services – National Assembly).,UmThethomlingwa woBulele bokuHloyana neKulumo eneHloyo [i-B 9 – 2018] (iNdlu yesiBethamthetho seNarha – isg 75) – (iKomidi yesiBethamthetho seNarha yezoBulungiswa nomSebenzi wokuVuselelwa kweeMilo – iNdlu yesiBethamthetho seNarha).,August
State Liability Amendment Bill [B 16 – 2018] (National Assembly – sec 75) – (Portfolio Committee on Justice and Correctional Services – National Assembly).,IsiKhibelelo somThethomlingwa sokuLahlekelwa komBuso [i-B 16 – 2018] (iNdlu yesiBethamthethoseNarha - isg 75) – (iKomidi yesiBethamthetho seNarha yezoBulungiswa nomSebenzi wokuVuselelwa kweeMilo – iNdlu yesiBethamthetho seNarha).,August
"Local Government: Municipal Structures Amendment Bill [B 19B – 2018] (National Assembly – sec 76) – (Select Committee on Cooperative Governance and Traditional Affairs, Water and Sanitation and Human Settlements – National Council of Provinces).","URhulumende wemaKhaya: IsiKhibelelo somThethomlingwa wezaKhiwo zakaMasipala [i-B 19B – 2018] (iNdlu yesiBethamthetho seNarha – isg 76) – (iKomidi eKhethekileko yesiBethamthetho seNarha yezokuBusa ngokuHlanganyela neeNdaba zeNdabuko, aManzi neNdle nokuHlaliswa kwabAntu – umKhandlu weNarha oNgamele iimFunda).",August
South African Reserve Bank Bill [B 26 – 2018] (National Assembly – sec 75) – (Standing Committee on Finance – National Assembly).,UmThethomlingwa weBhanga eKulu yeSewula Afrika [i-B 26 – 2018] (iNdlu yesiBethamthetho seNarha – isig 75) – (iKomidi yasaFuthi yesiBethamthetho seNarha yezeMali).,August
"National Gambling Amendment Bill [B 27B – 2018] (National Assembly – sec 76) – (Select Committee on Trade and Industry, Economic Development, Small Business Development, Tourism, Labour and Employment – National Council of Provinces).","IsiKhibelelo somThethomlingwa weNarha wezokuGembula [i-B 27B – 2018] (iNdlu yesiBethamthetho seNarha – isig 76) – (iKomidi eKhethekileko yeNdlu yomKhandlu weNarha oNgamele iimFunda yezamaRhwebo namaBubulo, ukuThuthukiswa koMnotho, ukuThuthukiswa kwamaBubulo amaNcani, zamaVakatjho, zemiSebenzi nokuQatjha – umKhandlu weNarha oNgamele iimFunda).",August
National Health Amendment Bill [B 29 – 2018] (National Assembly – sec 76) – (Portfolio Committee on Health – National Assembly).,IsiKhibelelo somThethomlingwa weNarha yezaMaphilo weNarha [i-B 29 – 2018] (iNdlu yesiBethemthetho seNarha – isig 76) – (iKomidi yesiBethamthetho seNarha yezamaPhilo).,August
Public Finance Management Amendment Bill [B 41  2018] (National Assembly – sec 76) – (Standing Committee on Finance – National Assembly).,IsiKhibelelo somThethomlingwa wokuPhathwa kweMali kaRhulumende [i-B 41  2018] (iNdlu yesiBethamthetho seNarha – isig 76) – (Ikomodi yasaFuthi yesiBethamthetho seNarha yezeMali,August
Civil Aviation Amendment Bill [B 44 – 2018] (National Assembly – sec 75) – (Portfolio Committee on Transport – National Assembly).,IsiKhibelelo somThethomlingwa wemiThetho womKhakha wezokuPhapha [i-B 44 – 2018] (iNdlu yesiBethamthetho seNarha – isig 75) – (iKomidi yesiBethamthetho seNarha yezokuThutha).,August
Local Government: Municipal Systems Amendment Bill [B 2 – 2019] (National Assembly – sec 76) – (Portfolio Committee Cooperative Government and Traditional Affairs – National Assembly).,URhulumende wemaKhaya: IsiKhibelelo somThethomlingwa wamaHlelo waboMasipala [i-B 2 – 2019] (iNdlu yesiBethamthetho seNarha – isig 76) – (iKomidi yesiBethamthetho seNarha yezokuSebenzisana kwaboRhulumende neeNdaba zeNdabuko a).,August
National Health Insurance Bill [B 11 - 2019] (National Assembly – sec 76) – (Portfolio Committee on Health – National Assembly).,UmThethomlingwa weTjhorensi yeNarha yezamaPhilo [i-B 11 - 2019] (iNdlu yesiBethamthetho seNarha –isig 76) – (iKomidi yesiBethamthetho seNarha yezamaPhilo).,August
Recognition of Customary Marriages Amendment Bill [B 12 - 2019] (National Assembly – sec 76) – (Select Committee on Security and Justice – National Council of Provinces).,IsiKhibelelo somThethomlingwa kokwaMukelwa kwemiTjhado yeSintu [i-B 12 - 2019] (iNdlu yesiBethamthetho seNarha –isg 76) – IKomidi eKhethekileko yesiBethamthetho seNarha yezokuVikela noBulungiswa).,August
Independent Electricity Management Operator Bill [B 14 - 2019] (National Assembly – sec 76) – (Portfolio Committee on Mineral Resources and Energy – National Assembly).,UmThethomlingwa webaLawuli abaziJameleko bokuPhathwa kweGezi [i-B 14 – 2019] (iNdlu yesiBethamthetho seNarha – isig 76) – (iKomidi yesiBethamthetho seNarha yezeZenjiwa naMandla).,August
Prescription in Civil and Criminal Matters (Sexual Offences) Amendment Bill [B 22B - 2019] (National Assembly – sec 75) – (Select Committee on Security and Justice – National Council of Provinces).,IsiKhibelelo somThathomlingwa wesiQuntelo sezakhamuzi neeNdaba zoBulelesi (amaCala wezoMseme) [i-B 22B - 2019] (iNdlu yesiBethamthetho seNarha – isig 75) – (IKomidi eKhethekileko yesiBethamthetho seNarha yezokuVikela noBulungiswa – umKhandlu weNarha oNgamele iimFunda).,August
Economic Regulation of Transport Bill [B 1 - 2020] (National Assembly– sec 76) – (Portfolio Committee on Transport – National Assembly).,UmThethomlingwa wokuPhatha umNotho wezokuThutha [i-B 1 - 2020] (iNdlu yesiBethamthetho seNarha–isig.76) – (iKomidi yesiBethamthetho seNarha yezokuThutha).,August
Auditing Profession Amendment Bill [B 2 - 2020] (National Assembly – sec 75) – (Standing Committee on Finance – National Assembly).,IsiKhibelelo somThethomlingwa wezokuHlolwa kweeNcwadi [i-B 2 - 2020] (iNdlu yesiBethamthetho seNarha –isig75) – (iKomodi yaSafuthi yesiBethamthetho seNarha).,August
Fiscal Responsibility Bill [B 5 - 2020] (National Assembly – sec 76) – (Standing Committee on Finance – National Assembly).,UmThethomlingwa womSebenzi wesiKhwama seeMali [i-B 5 – 2020] (iNdlu yesiBethamthetho seNarha – isihlongozo sesigaba – 76) (IKomidi yesiBethamthetho seNarha yezeeMali).,August
"Upgrading of Land Tenure Rights Amendment Bill [B 6 - 2020] (National Assembly – sec 76) – (Portfolio Committee on Agriculture, Land Reform and Rural Development – National Assembly) [Referred to National House of Traditional Leaders on 3 July 2020].",Ukuthuthukiswa kwesiKhibelelo somThethomlingwa wamaLungelo    wokuQhatjhwa kweNarha [i-B 6 2020] (iNdlu yesiBethamthetho seNarha – isg esihlongozwako 76) - (iKomidi yesiBethamthetho seNarha - iNdlu yesiBethamthetho seNarha).,August
National Road Traffic Amendment Bill [B 7 - 2020] (National Assembly – sec 76) – (Portfolio Committee on Transport – National Assembly).,IsiKhibelelo somThethomlingwa wesiPhithiphithi seNdleleni zeNarha [i-B7-2020] (iNdlu yesiBethamthetho seNarha – isig esihlongozwako 76) – (iKomidi yesiBethamthetho seNarha - iNdlu yesiBethamthetho seNarha).,August
Transport Appeal Tribunal Amendment Bill [B 8 - 2020] (National Assembly – sec 76) – (Portfolio Committee on Transport – National Assembly).,IsiKhibelelo somThethomlingwa woMkhandlu wokuziBilayeza lenThuthi [i-B8-2020] (iNdlu yesiBethamthetho seNarha – isig 76) – (iKomidi yasaFuthi yesiBethamthetho seNarha).,August
Disaster Management Tax Relief Bill [B 11B – 2020] (National Assembly – sec 77) – (Standing Committee on Finance – National Council of Provinces).,UMthethomlingwa weLawulo loMthelo wesiBonelelo seHlekelele [i-B 11B – 2020] (INdlu yesibethamthetho seNarha– isig 77) – (iKomidi yasaFuthi yesiBethamthetho seNarha yezeMali – iNdlu yoMkhandlu weNarha oNgamele iiMfunda).,August
Disaster Management Tax Relief Administration Bill [B 12B – 2020] (National Assembly – sec 75) – (Standing Committee on Finance – National Council of Provinces).,UMthethomlingwa weLawulo lokuLawula uMthelo wesiBonelelo seHlekelele [i-B 12B – 2020] (iNdlu yesiBethamthetho seNarha – isig 75) – (iKomidi yesiBethamthetho seNarha yezeMali – iNdlu yoMkhandlu weNarha oNgamele iiMfunda).,August
Public Finance Management Amendment Bill [B 13 - 2020] (National Assembly – sec 76) – (Standing Committee on Finance - National Assembly).,IsiKhibelelo somThethomlingwa wokuPhathwa kweeMali zomPhakathi [i-B 13 – 2020] (iNdlu yesiBethamthetho seNarha isig 76 esihlongozwako) – iKomidi yasaFuthi yesiBethamthetho seNarha yezeMali).,August
Employment Equity Amendment Bill [B 14 - 2020] (National Assembly – sec 75) – (Portfolio Committee on Employment and Labour – National Assembly).,IsiKhibelelo somThethomlingwa wokuQhatjha ngokuLingana [i-B14 – 2020] (iNdlu yesiBethamthetho seNarha – isig esihlongozwako 76) – (iKomidi yesiBethamthetho seNarha yezokuQhatjha nemiSebenzi).,August
Financial Sector Laws Amendment Bill [B 15 - 2020] (National Assembly – proposed sec 75) – (Standing Committee on Finance - National Assembly).,IsiKhibelelo somThethomlingwa wemiThetho yomKhakha weeMali [i-B 15 - 2020] (iNdlu yesiBethamthetho seNarha – isigaba esihlongozwako 75) – (IKomidi yasaFuthi yezeeMali – iNdlu yesiBethamthetho seNarha).,August
Criminal Law (Sexual Offences and Related Matters) Amendment Act Amendment Bill [B 16  2020] (National Assembly – proposed sec 75) – (Portfolio Committee on Justice and Correctional Services – National Assembly).,UMthetho wezoBulelesi (ubuLelelsi bezoMseme neeNdaba eziPhathelene nabo) IsiKhibelelo soMthethomlingwa wesiKhibelelo soMthetho [i-B 16  2020] (iNdlu yesiBethamthetho – isig esihlongozwako 75) – (iKomidi yasaFuthi yesiBethamthetho seNarha yezoBulungiswa nokuVuselelwa kwesiMilo).,August
BILLS RETURNED TO ASSEMBLY FOR CONSIDERATION OF PRESIDENT’S RESERVATIONS,IMITHETHOMLINGWA EBUYISELWE NGENDLINI YESIBETHAMTHETHO SENARHA BONA IYOTJHEJWA MAYELANA NESIQUNTO ESIBEKWE NGUMONGAMELI,August
Protection of State Information Bill [B 6H – 2010] (National Assembly – sec 75).,UmThethomlingwa wokuVikelwa kweLwazi lomBuso [i-B 6H – 2010] (iNdlu yesiBethamthetho seNarha – isig 75).,August
Liquor Products Amendment Bill [B 10B – 2016] (National Assembly – sec 75).,UmThethomlingwa womKhiqhizo woTjhwala [i-B 10B – 2016] (iNdlu yesiBethamthetho seNarha - isig 75).,August
Performers’ Protection Amendment Bill [B24B - 2016] (National Assembly – sec 75).,IsiKhibelelo somThethomlingwa sokuVikela abaLingisi [i-B24B – 2016] (iNdlu yesiBethamthetho seNarha – isig 75).,August
Copyright Amendment Bill [B13B - 2017] (National Assembly – sec 75).,IsiKhibelelo somThethomlingwa soBunikazi beLwazi [i-B13B -2017] iNdlu yesiBethamthetho seNarha – isig 75).,August
"BILLS, SUBJECT TO PROPOSED AMENDMENTS, PASSED BY NATIONAL COUNCIL OF PROVINCES AND RETURNED TO NATIONAL ASSEMBLY FOR CONCURRENCE","IMITHETHOMLINGWA, EHLONGOZWA BONA IKHIBELELWE, EPHASISWE MKHANDLU WENARHA ONGAMELE IIMFUNDA BEGODU BEWABUYISELWA NGENDLINI YESIBETHAMTHETHO SENARHA UKWENZELA UKUVUMELANA",August
Cybercrimes Bill [B 6B – 2017] (National Assembly – sec 75) (introduced as Cybercrimes and Cybersecurity Bill [B 6 – 2017]).,UmThethomlingwa wobuLelesi bamaThungelelwano [i-B 6B – 2017] (iNdlu yesiBethamthetho seNarha – isig 75) (othulwe njengo mThethomlingwa wobuLelesi bamaThungelelwano nokuVikeleka kwamaThungelelwano [i-B 6 – 2017]).,August
BILLS PASSED BY NATIONAL ASSEMBLY AND TRANSMITTED TO NATIONAL COUNCIL OF PROVINCES FOR CONCURRENCE,IMITHETHOMLINGWA EPHASISWE YINDLU YESIBETHAMTHETHO SENARHA YADLULISELWA NGENDLINI YOMKHANDLU WENARHA ONGAMELA IIMFUNDA UKWENZELA UKUVUMELANA,August
Traditional Courts Bill [B 1B – 2017] (National Assembly – sec 76).,1.     UmThethomlingwa wamaKhotho weNdabuko [i-B 1B – 2017] (iNdlu yesiBethamthetho seNarha isig 76).,August
Airports Company Amendment Bill [B 5B – 2018] (National Assembly – sec 75).,Isikhibelelo somThethomlingwa weKampani yamaDoyelo wezeMoyeni [i-B 5B – 2018] (iNdlu yesiBathamthetho seNarha – isig 75).,August
Air Traffic and Navigation Services Company Amendment Bill [B 6B – 2018] (National Assembly – sec 75).,IsiKhibelelo somThethomlingwa weenThuthu zeMoyeni nemiSebenzi yezokuPhapha [i-B 6B – 2018] (iNdlu yesiBathamthetho seNarha – isig 75).,August
Social Assistance Amendment Bill [B 8B - 2018] (National Assembly – sec 76).,IsiKhibelelo somThethomlingwa wokuSiza ngezeHlalakuhle [i-B 8B - 2018] (iNdlu yesiBethamthetho seNarha – isig 76).,August
Local Government: Municipal Structures Amendment Bill [B 19B – 2018] (National Assembly – sec 76).,URhulumende wemaKhaya: IsiKhibelelo somThethomlingwa omayelana neZakhiwo zikaMasipala [i-B 19B – 2018] (iNdlu yesiBethemthetho seNarha – isig 76).,August
National Gambling Amendment Bill [B 27B – 2018] (National Assembly – sec 76).,IsiKhibelelo somThethomlingwa weNarha wezokuGembula [i-B 27B – 2018] (iNdlu yesiBethamthetho seNarha – isig 76).,August
Recognition of Customary Marriages Amendment Bill [B 12 - 2019] (National Assembly – sec 76).,IsiKhibelelo somThethomlingwa kokwaMukelwa kwemiTjhado yeSintu [i-B 12 - 2019] (iNdlu yesiBethamthetho seNarha – isig 76).,August
Judicial Matters Amendment Bill [B 13B - 2019] (National Assembly – sec 75).,IsiKhibelelo somThethomlingwa seNdaba zobuLungiswa [i-B 13B - 2019] (iNdlu yesiBethamthetho seNarha – isig 75).,August
Prescription in Civil and Criminal Matters (Sexual Offences) Amendment Bill [B 22B - 2019] (National Assembly – sec 75).,IsiKhibelelo somThethomlingwa wokuQuntelwa weeNdaba zeZakhamuzi namaCala (AmaCala wezomSeme) [i-B 22B - 2019] (iNdlu yesiBethamthetho seNarha – isig 75).,August
Disaster Management Tax Relief Bill [B 11B – 2020] (National Assembly – sec 77).,UMthethomlingwa weLawulo loMthelo wesiBonelelo seHlekelele [i-B 11B – 2020] (iNdlu yesiBethamthetho seNarha – isig 77).,August
Disaster Management Tax Relief Administration Bill [B 12B – 2020] (National Assembly – sec 75).,UMthethomlingwa weLawulo lokuLawula uMthelo wesiBonelelo seHlekelele [i-B 12B – 2020] (iNdlu yesiBethamthetho seNarha – isig 75),August
INTERNATIONAL AGREEMENTS,IIMVUMELWANO ZEENTJHABTJHABA,August
"Ratification of the Agreement between the Government of the Republic of India, the Government of the Federative Republic of Brazil and the Government of the Republic of South Africa on the IBSA Fund for the Alleviation of Poverty and Hunger (signed 17 October 2017) (Tabled on 18 October 2019) (NA: Referred to Portfolio Committee on International Relations and Cooperation on 22 October 2019) (NCOP: Referred to Select Committee on Security and Justice on 24 October 2019).","Ukuvumelana ngesiVumelwano hlangana noRhulumende we-Riphabhliki ye-India, noRhulumende weHlanganisela weRiphabhligi yeBrazil kunye noRhulumende weRiphabhliki yeSewula Afrika mayalana nesikhwama se-IBSA sokuLwisana neNdlala nomTlhago (esaTlikitlwa mhlaka 17 kuSewula 2019).  (esaThulwa mhlaka 18 Sewula 2019). (wadluliselwe kuKomidi yesiBethamthetho seNarha yeeNdaba zeenTjhabatjhaba nokuSebenzisana mhlaka-22 Sewula 2019) (NgeNdlini yomKhandlu weNarha oNgamele iimFunda: wadluliselwa kuKomidi eKhethekileko yezeVikeleko nobuLungiswa mhlana zima-24 kuSewula 2019).",August
