eng,zul,source
"Petition from the residents of Letsitele Town, Ward 23, Tzaneen, calling on the Assembly to ensure that the Tzaneen municipality abides by the laws, by-laws and regulations, and that it implements the prescribed environmental and applicable zoning, as well as monitor and halt all illegal activities (Ms D van der Walt) – (Portfolio Committee on Cooperative Governance and Traditional Affairs - National Assembly).","Uhlu lwesikhalazo esivela emphakathini waseLetsitele Town, Ward 23, Tzaneen, ucela ukuthi isiShayamthetho siqinisekise ukuthi umasipala waseTzaneen uyayigcina imithetho kanye nezimiso zomasipala, nokuthi isebenzisa ukwehlukaniswa kwemingcele okbekiwe okuhambisana nendawo, kanye nokuqapha futhi imise yonke imisebenzi engekho emthethweniand that it implements the prescribed environmental and applicable zoning,  (Nk D van der Walt) – (IKomidi leNdlu yesiShayamthetho sikaZwelonke elibhekele ezokuBusa NgoKubambisana kanye Nezindaba zeNdabuko – iNdlu yesiShayamthetho sikaZwelonke).",August
"Petition from the farmers and the community of Tzaneen, Limpopo, represented by AGRI Letaba, calling on the Assembly to investigate severe electricity outages, power dips, low voltage and poor to no maintenance since 2016 as a result of the failure of the Greater Tzaneen Municipality (Ms D van der Walt) – (Portfolio Committee on Cooperative Governance and Traditional Affairs – National Assembly).","Uhlu lwesikhalazo esivela kubalimi kanye nomphakathini waseTzaneen, eLimpopo, omelwe uAGRI Letaba, ucela ukuthi isiShayamthetho siphenye ukunqamuka kwamandla kagesi okudlangile, amandla kagesi amancane, amavoltheji aphansi kanye nokulungiswa okungekuhle noma okungenzeki nhlobo. (Nk D van der Walt) – (IKomidi leNdlu yesiShayamthetho sikaZwelonke elibhekele ezokuBusa NgoKubambisana kanye Nezindaba zeNdabuko – iNdlu yesiShayamthetho)",August
BILLS REFERRED TO JOINT TAGGING MECHANISM (JTM),IMITHETHOSIVIVINYWA ETHUNYELWE EKOMIDINI LOKUHLUNGA ELIYINHLANGANISELA (JTM),August
Financial Sector Laws Amendment Bill [B 15 - 2020] (National Assembly – proposed sec 75).,ISichibiyelo soMthethosivivinywa soMthetho Wesikhungo sezeZezimali [B 15 - 2020] (iNdlu yesiShayamthetho sikaZwelonke – isigaba sama-75 esihlongoziwe).,August
Criminal Law (Sexual Offences and Related Matters) Amendment Act Amendment Bill [B 16  2020] (National Assembly – proposed sec 75).,ISichibiyelo soMthethosivivinywa soMthetho Wamacala Obugebengu [ B 16- 2020] iNdlu yesiShayamthetho sikaZwelonke – isigaba sama-75 esihlongoziwe).,August
BILLS REFERRED TO COMMITTEES,IMITHETHOSIVIVINYWA ETHUNYELWE EMAKOMIDINI,August
"Protection of State Information Bill [B 6H – 2010] (National Assembly – sec 75) and the President’s reservations on the constitutionality of the Bill as submitted to him (Announcements, Tablings and Committee Reports, 12 June 2020, p 7) – (Portfolio Committee on Justice and Correctional Services – National Assembly).","UMthethosivivinywa Wokuvikelwa Kokusatshalaliswa Kwezindaba Zombuso [B 6H – 2010] (iNdlu yesiShayanthetho sikaZwelonke – isig. 75) kanye nezinto ezikhathaza uMongameli ngalo Mthethosivivinywa mayelana nokuthi uyahambisana yini noMthethosisekelo ngesikhathi wethulwa kuye (Izimemezelo, uKwethulwa kwemithetho kanye nemiBiko yeKomidi, yamhla zi-12 kuNhlangulana wezi-2020, ikh 7) – (iKomidi loMkhandlu kaZwelonke elibhekele Ezobulungiswa kanye Nokuhlunyeleliswa Kwezimilo – iNdlu yesiShayamthetho sikaZwelonke).",August
"Liquor Products Amendment Bill [B 10B – 2016] (National Assembly – sec 75) and the President’s reservations on the constitutionality of the Bill as submitted to him (Announcements, Tablings and Committee Reports, 12 June 2020, p 2) – (Portfolio Committee on Agriculture, Land Reform and Rural Development – National Assembly).","ISichibiyelo soMthethosivivinywa Semikhiqizo Yotshwala [B 10B – 2016] (iNdlu yesiShayanthetho sikaZwelonke – isig. 75) kanye nezinto ezikhathaza uMongameli ngalo Mthethosivivinywa mayelana nokuthi uyahambisana yini noMthethosisekelo ngesikhathi wethulwa kuye (Izimemezelo, uKwethulwa kwemithetho kanye nemiBiko yeKomidi, yamhla zi-12 kuNhlangulana wezi-2020, ikh 2) – (iKomidi loMkhandlu kaZwelonke elibhekele Ezolimo, Izinguquko Zezomhlaba Nokuthuthukiswa Kwezindawo Zasemakhaya – iNdlu yesiShayamthetho sikaZwelonke).",August
"Performers’ Protection Amendment Bill [B 24B - 2016] (National Assembly – sec 75) and the President’s reservations on the constitutionality of the Bill as submitted to him (Announcements, Tablings and Committee Reports, 22 June 2020, p 2) – (Portfolio Committee on Trade and Industry – National Assembly).","ISichibiyelo SoMthethosivivinywa Wokuvikelwa Kwamaciko [B 24B - 2016] (iSishayamthetho Sikazwelonke – isig 75) kanye nezinto ezikhathaza uMongameli ngalo Mthethosivivinywa mayelana nokuthi uyahambisana yini noMthethosisekelo ngesikhathi wethulwa kuye (Izimemezelo, uKwethulwa kwemithetho kanye nemiBiko yeKomidi, yamhla zi-22 kuNhlangulana wezi-2020, ikh 2) – (iKomidi loMkhandlu kaZwelonke elibhekele Ezowhebo Nezimboni – iNdlu yesiShayamthetho sikaZwelonke).",August
Traditional Courts Bill [B 1B – 2017] (National Assembly – sec 76) – (Select Committee on Security and Justice – National Council of Provinces).,UMthethosivivinywa WeziNkantolo ZeNdabuko [B 1B – 2017] (iNdlu yesiShayamthetho sikaZwelonke – isigaba-76) – (iKomidi loMkhandlu kaZwelonke Wezifundazwe elibhekele Ezokuphepha kanye Nezobulungiswa –uMkhandlu kaZwelonke Wezifundazwe).,August
Cybercrimes Bill [B 6B – 2017] (National Assembly – sec 75) (introduced as Cybercrimes and Cybersecurity Bill [B 6 – 2017]) – (Portfolio Committee on Justice and Correctional Services – National Assembly).,UMthethosivivinywa Wobugebengu Obenziwe nge-Inthanethil [B 6B – 2017] (iNdlu yesiShayamthetho sikaZwelonke – isigaba 75) (owethulwe njeNgobugebengu Obenziwe nge-Inthanethi kanye noMthethosivivinywa Wokuvikela Ubugebengu Obenziwe nge-Inthanethi [B 6 – 2017]) – (iKomidi leNdlu yesiShayamthetho sikaZwelonke elibhekele Ezobulungiswa kanye Nokuhlunyeleliswa Kwezimilo – iNdlu yesiShayamthetho sikaZwelonke).,August
"Copyright Amendment Bill [B 13B - 2017] (National Assembly – sec 75) and the President’s reservations on the constitutionality of the Bill as submitted to him (Announcements, Tablings and Committee Reports, 22 June 2020, p 2) – (Portfolio Committee Trade and Industry – National Assembly).","Isichibiyelo soMthethosivivinywa Wezokuvikelwa Kwamalungelo Obunikazi Bokuyimibhalo [B13B - 2017] ((iNdlu yesiShayamthetho sikaZwelonke – isigaba 75) kanye nezinto ezikhathaza uMongameli ngalo Mthethosivivinywa mayelana nokuthi uyahambisana yini noMthethosisekelo ngesikhathi wethulwa kuye (Izimemezelo, uKwethulwa kwemithetho kanye nemiBiko yeKomidi, yamhla zi-22 kuNhlangulana wezi-2020, ikh 2) – (iKomidi loMkhandlu kaZwelonke elibhekele Ezowhebo Nezimboni – iNdlu yesiShayamthetho sikaZwelonke).",August
International Crimes Bill [B 37 – 2017] (National Assembly – sec 75) – (Portfolio Committee on Justice and Correctional Services – National Assembly).,Isichibiyelo soMthethosivivinywa Wamacala Enziwe Ezingeni Lamazwe Omhlaba [B 37 – 2017] (iNdlu yesiShayamthetho sikaZwelonke –isgaba-75) – (iKomidi lesiShayamthetho sikaZwelonke elibhekele Ezobulungiswa kanye Nokuhlunyeleliswa kwezimilo – iNdlu yesiShayamthetho sikaZwelonke).,August
"Airports Company Amendment Bill [B 5B – 2018] (National Assembly – sec 75) – (Select Committee on Transport, Public Service and Administration, Public Works and Infrastructure – National Council of Provinces).","UMthethosivivinywa WeNkampani Zezikhumulo Zezindiza [B 5B-2018] (iNdlu yesiShayamthetho sikaZwelonke – isigaba-75) (iKomidi Lomkhandlu WeziFundazwe LezokuThutha, Abasebenzi BakaHulumeni, iMisebenzi Yomphakathi kanye Nenqalasizinda- uMkhandlu kaZwelonke Wezifundazwe).",August
"Air Traffic and Navigation Services Company Amendment Bill [B 6B – 2018] (National Assembly – sec 75) – (Select Committee on Transport, Public Service and Administration, Public Works and Infrastructure – National Council of Provinces).","Isichibiyelo SoMthethosivivinywa Wokuhamba Emoyeni kanye Nezinkampani Ezilawula Ezokuhamba Emoyeni [B 6B – 2018] (iNdlu yesiShayamthetho sikaZwelonke – sisigaba-75) (iKomidi Lomkhandlu WeziFundazwe LezokuThutha, Abasebenzi BakaHulumeni, iMisebenzi Yomphakathi kanye Nenqalasizinda- uMkhandlu kaZwelonke Wezifundazwe).",August
Social Assistance Amendment Bill [B 8B - 2018] (National Assembly – sec 76) – (Select Committee on Health and Social Services – National Council of Provinces).,ISichibiyelo SoMthethosivivinywa Wokusizwa Komphakathi [B 8B - 2018] (iNdlu yesiShayamthetho sikaZwelonke –isgaba 76) – (iKomidi Lomkhandlu Kazwelonke WeziFundazwe elibhekele Ezempilo kanye Nemisebenzi Yezenhlalakahle - UMmkhandlu Kazwelonke WeziFundazwe).,August
Prevention of Hate Crimes and Hate Speech Bill [B 9 – 2018] (National Assembly – sec 75) – (Portfolio Committee on Justice and Correctional Services – National Assembly).,Isichibiyelo soMthethosivivinywa Sokuvikela Amacala Enzondo kanye Nenkulumo Enenzondo [B 9 – 2018] (iNdlu yesiShayamthetho sikaZwelonke – isigaba-75) – (iKomidi loMkhandlu kaZwelonke elibhekele Ezobulungiswa kanye Nokuhlunyeleliswa kwezimilo – iNdlu yesiShayamthetho sikaZwelonke).,August
State Liability Amendment Bill [B 16 – 2018] (National Assembly – sec 75) – (Portfolio Committee on Justice and Correctional Services – National Assembly).,Isichibiyelo soMthethosivivinywa Wezikweletu zoMbuso [B 16 – 2018] (iNdlu yesiShayamtetho sikaZwelonke – isigaba-75) – (iKomidi leNdlu yesiShayamthetho sikaZwelonke elibhekele Ezobulungiswa kanye Nokuhlunyeleliswa Kwezimilo – iNdlu yesiShayamthetho sikaZwelonke).,August
"Local Government: Municipal Structures Amendment Bill [B 19B – 2018] (National Assembly – sec 76) – (Select Committee on Cooperative Governance and Traditional Affairs, Water and Sanitation and Human Settlements – National Council of Provinces).","Ohulumeni Basekhaya: Isichibiyelo soMthethosivivinywa Wezinhlaka zoMasipala [B 19B – 2018] (iNdlu yesiShayamthetho sikaZwelonke – isigaba-76) – (iKomidi loKhandlu kaZwelonke Wezifundazwe elibhekele Ezokubusa ngokubambisana kanye Nezindaba Zendabuko, Ezamanzi kanye Nokuthuthwa Kwendle Nokuhlaliswa Kwabantu – uMkhandlu kaZwelonke Wezifundazwe).",August
South African Reserve Bank Bill [B 26 – 2018] (National Assembly – sec 75) – (Standing Committee on Finance – National Assembly).,Isichibiyelo soMthethosivivinywa Webhangengodla laseNingizimu Afrika [B 26 – 2018] (iNdlu yesiShayamtetho sikaZwelonke – isigaba-75) – (iKomidi Elingaguquki elibhekele Ezezimali – iNdlu yesiShayamthetho sikaZwelonke).,August
"National Gambling Amendment Bill [B 27B – 2018] (National Assembly – sec 76) – (Select Committee on Trade and Industry, Economic Development, Small Business Development, Tourism, Labour and Employment – National Council of Provinces).","Isichibiyelo soMthethosivivinywa WezokuGembula kuZwelonke [B 27B – 2018] (iNdlu yesiShayamtetho sikaZwelonke – isigaba-76) – (iKomidi loMkhandlu kaZwelonke elibhekele Ezokuhweba kanye Nezimboni, Ukuthuthukiswa Kwamabhizinisi Amancane, Ezokuvakasha, Ezokuqashwa kanye Nezabasebenzi – uMkhandlu kaZwelonke Wezifundazwe).",August
National Health Amendment Bill [B 29 – 2018] (National Assembly – sec 76) – (Portfolio Committee on Health – National Assembly).,Isichibiyelo soMthethosivivinywa Wezempilo kaZwelonke [B 29 – 2018] (iNdlu yesiShayamtetho sikaZwelonke – isigaba-76) – (iKomidi lesiShayamthetho sikaZwelonke elibhekele Ezempilo – iNdlu yesiShayamthetho).,August
Public Finance Management Amendment Bill [B 41  2018] (National Assembly – sec 76) – (Standing Committee on Finance – National Assembly).,Isichibiyelo soMthethosivivinywa Wokulawulwa Kwezimali Zikahulumeni [B 41 2018] (iNdlu yesiShayamthetho sikaZwelonke – isigaba-76) – (IKomidi Elingaguquki elibhekele Ezezimali – iNdlu yesiShayamthetho sikaZwelonke.,August
Civil Aviation Amendment Bill [B 44 – 2018] (National Assembly – sec 75) – (Portfolio Committee on Transport – National Assembly).,Isichibiyelo soMthethosivivinywa WeziNdiza Zomphakathi [B 44 – 2018] (iNdlu yesiShayamtetho sikaZwelonke – isigaba-75) (iKomidi leNdlu yesiShayamthetho sikaZwelonke elibhekele Ezokuthutha – iNdlu yesiShayamthetho sikaZwelonke) – ((iKomidi leNdlu yesiShayamthetho sikaZwelonke elibhekele Ezokuthutha – iNdlu yesiShayamthetho sikaZwelonke).,August
Local Government: Municipal Systems Amendment Bill [B 2 – 2019] (National Assembly – sec 76) – (Portfolio Committee Cooperative Government and Traditional Affairs – National Assembly).,Ohulumeni Basekhaya: Isichibiyelo soMthethosivivinywa Wezindlela ZoMasipala Zokwenza Izinto [B 2 – 2019] (iNdlu yesiShayamtetho sikaZwelonke – isigaba-76) – (iKomidi leNdlu yesiShayamththo sikaZwelonke elibhekele EzokuBusa NgokuBambisana kanye NeziNdaba zeNdabuko – iNdlu yesiShaymthetho sikaZwelonke).,August
National Health Insurance Bill [B 11 - 2019] (National Assembly – sec 76) – (Portfolio Committee on Health – National Assembly).,UMthethosivivinywa woMshwalense kaZwelonke Wezempilo [B 11 - 2019] (iNdlu yesiShayamthetho sikaZwelonke – isigaba-76) – (IKomidi LeSishayamthetho elibhekele Ezempilo – iNdlu yesiShayamthetho sikaZwelonke).,August
Recognition of Customary Marriages Amendment Bill [B 12 - 2019] (National Assembly – sec 76) – (Select Committee on Security and Justice – National Council of Provinces).,ISichibiyelo SoMthethosivivinywa Owamukela Imishado Yesintu [B 12 - 2019] (iSishayamthetho SikaZwelonke – isigaba 76) – (IKomidi loMkhandlu kaZwelonke Wezifundazwe elibhekele Ezokuphepha kanye Nobulungiswa – uMkhandlu kaZwelonke Wezifundazwe).,August
Independent Electricity Management Operator Bill [B 14 - 2019] (National Assembly – sec 76) – (Portfolio Committee on Mineral Resources and Energy – National Assembly).,UMthethosivivinywaIndependent Wokuphathwa kokusetshenziswa Kogesi [B 14 - 2019] (isiShayamthetho sikaZwelonke–isig 76) – (iKomidi lesiShayamthetho sikaZwelonke elibhelele Ezezimbiwa kanye neZamandla – isiShayamthetho sikaZwelonke).,August
Prescription in Civil and Criminal Matters (Sexual Offences) Amendment Bill [B 22B - 2019] (National Assembly – sec 75) – (Select Committee on Security and Justice – National Council of Provinces).,ISichiyelo SoMthethosivivinywa Wokuphelelwa Isikhathi Kwezindaba Zombango kanye Namacala Obugebengu (Amacala Ezocansi) [B 22B - 2019] (iKomidi loMkhandlu kaZwelonke weziFundazwe elibhekele Ezobulungiswa – isigaba 75) – uMkhandlu kaZwelonke WeziFundazwes).,August
Economic Regulation of Transport Bill [B 1 - 2020] (National Assembly– sec 76) – (Portfolio Committee on Transport – National Assembly).,UMthethosivivinywa Wokulawula Kwezomnotho Wezokuthutha [B 1 - 2020] (isiShayamthetho siksZwelonke – isigabac 76) – (iKomidi lesiShayamthetho sikaZwelonke elibhekele Ezokuthutha– isiShayamthetho sikaZwelonke).,August
Auditing Profession Amendment Bill [B 2 - 2020] (National Assembly – sec 75) – (Standing Committee on Finance – National Assembly).,ISichibiyelo soMthethosivivinywa Womsebenzi Wokuchwaninga Amabhuku [B 2 - 2020] (isiShayamthetho siksZwelonke – isigaba 75) – (IKomidi Elingaguquki elibhekele EzeziMali – isiShayamthetho sikaZwelonke).,August
Fiscal Responsibility Bill [B 5 - 2020] (National Assembly – sec 76) – (Standing Committee on Finance – National Assembly).,UMthethosivivinywa Wokuzibophezela Kwezezimali [B 5 - 2020] iaiShayamthetho sikaZwelonke – isigaba 76) – (iKomidi Elngaguquki elibhekele Ezezimali –isiShayamthetho siksZwelonke).,August
"Upgrading of Land Tenure Rights Amendment Bill [B 6 - 2020] (National Assembly – sec 76) – (Portfolio Committee on Agriculture, Land Reform and Rural Development – National Assembly) [Referred to National House of Traditional Leaders on 3 July 2020].",Isichibiyelo soMthethosivivinywa Wezemigwaqo kaZwelonke [B6-2020] (iNdlu yesiShayamthetho kaZwelonke iKomidi lesiShayamthetho sikaZwelonke elibhekele Ezokuthutha– isiShayamthetho sikaZwelonke) – esihlongoziwe isigaba 76).,August
National Road Traffic Amendment Bill [B 7 - 2020] (National Assembly – sec 76) – (Portfolio Committee on Transport – National Assembly).,Isicibiyelo soMthethosivivinywa WeziNkundla Zokwedlulisa Amacala Ezokuthutha [B7-2020] (iNdlu yesiShayamthetho sikaZwelonke – esihlongoziwe isigaba 76).,August
