eng,afr,source
"National Gambling Amendment Bill [B 27B – 2018] (National Assembly – sec 76) – (Select Committee on Trade and Industry, Economic Development, Small Business Development, Tourism, Labour and Employment – National Council of Provinces).","National Gambling Amendment Bill [B 27B – 2018] (Nasionale Vergadering – art 76) – (Gekose Komitee oor Handel en Nywerheid, Ekonomiese Ontwikkeling, Kleinsakeontwikkeling, Toerisme, Arbeid en Indiensneming – Nasionale Raad van Provinsies).",August
National Health Amendment Bill [B 29 – 2018] (National Assembly – sec 76) – (Portfolio Committee on Health – National Assembly).,National Health Amendment Bill [B 29 – 2018] (Nasionale Vergadering – art 76) – (Portefeuljekomitee oor Gesondheid – Nasionale Vergadering).,August
Public Finance Management Amendment Bill [B 41  2018] (National Assembly – sec 76) – (Standing Committee on Finance – National Assembly).,Public Finance Management Amendment Bill [B 41 – 2018] (Nasionale Vergadering – art 76) – (Staande Komitee oor Finansies – Nasionale Vergadering).,August
Civil Aviation Amendment Bill [B 44 – 2018] (National Assembly – sec 75) – (Portfolio Committee on Transport – National Assembly).,Civil Aviation Amendment Bill [B 44 – 2018] (Nasionale Vergadering – art 75) – (Portefeuljekomitee oor Vervoer – Nasionale Vergadering).,August
Local Government: Municipal Systems Amendment Bill [B 2 – 2019] (National Assembly – sec 76) – (Portfolio Committee Cooperative Government and Traditional Affairs – National Assembly).,Local Government: Municipal Systems Amendment Bill [B 2 – 2019] (Nasionale Vergadering – art 76) – (Portefeuljekomitee oor Samewerkende Regering en Tradisionele Sake – Nasionale Vergadering).,August
National Health Insurance Bill [B 11 - 2019] (National Assembly – sec 76) – (Portfolio Committee on Health – National Assembly).,National Health Insurance Bill [B 11 – 2019] (Nasionale Vergadering – art 76) – (Portefeuljekomitee oor Gesondheid – Nasionale Vergadering).,August
Recognition of Customary Marriages Amendment Bill [B 12 - 2019] (National Assembly – sec 76) – (Select Committee on Security and Justice – National Council of Provinces).,Recognition of Customary Marriages Amendment Bill [B 12 – 2019] (Nasionale Vergadering – art 76) – (Gekose Komitee oor Veiligheid en Justisie – Nasionale Raad van Provinsies).,August
Independent Electricity Management Operator Bill [B 14 - 2019] (National Assembly – sec 76) – (Portfolio Committee on Mineral Resources and Energy – National Assembly).,Independent Electricity Management Operator Bill [B 14 – 2019] (Nasionale Vergadering – art 76) – (Portefeuljekomitee oor Minerale Hulpbronne en Energie – Nasionale Vergadering).,August
Prescription in Civil and Criminal Matters (Sexual Offences) Amendment Bill [B 22B - 2019] (National Assembly – sec 75) – (Select Committee on Security and Justice – National Council of Provinces).,Prescription in Civil and Criminal Matters (Sexual Offences) Amendment Bill [B 22B – 2019] (Nasionale Vergadering – art 75) – (Gekose Komitee oor Veiligheid en Justisie – Nasionale Raad van Provinsies).,August
Economic Regulation of Transport Bill [B 1 - 2020] (National Assembly– sec 76) – (Portfolio Committee on Transport – National Assembly).,Economic Regulation of Transport Bill [B 1 – 2020] (Nasionale Vergadering – art 76) – (Portefeuljekomitee oor Vervoer – Nasionale Vergadering).,August
Auditing Profession Amendment Bill [B 2 - 2020] (National Assembly – sec 75) – (Standing Committee on Finance – National Assembly).,Auditing Profession Amendment Bill [B 2 – 2020] (Nasionale Vergadering – art 75) – (Staande Komitee oor Finansies – Nasionale Vergadering).,August
Fiscal Responsibility Bill [B 5 - 2020] (National Assembly – sec 76) – (Standing Committee on Finance – National Assembly).,Fiscal Responsibility Bill [B 5 – 2020] (Nasionale Vergadering – art 76) – (Staande Komitee oor Finansies – Nasionale Vergadering).,August
"Upgrading of Land Tenure Rights Amendment Bill [B 6 - 2020] (National Assembly – sec 76) – (Portfolio Committee on Agriculture, Land Reform and Rural Development – National Assembly) [Referred to National House of Traditional Leaders on 3 July 2020].","Upgrading of Land Tenure Rights Amendment Bill [B 6 – 2020] (Nasionale Vergadering –art 76) – (Portefeuljekomitee oor Landbou, Grondhervorming en Landelike Ontwikkeling – Nasionale Vergadering). [Na Nasionale Huis van Tradisionele Leiers verwys op 3 Julie 2020].",August
National Road Traffic Amendment Bill [B 7 - 2020] (National Assembly – sec 76) – (Portfolio Committee on Transport – National Assembly).,National Road Traffic Amendment Bill [B 7 – 2020] (Nasionale Vergadering – art 76) – (Portefeuljekomitee oor Vervoer – Nasionale Vergadering).,August
Transport Appeal Tribunal Amendment Bill [B 8 - 2020] (National Assembly – sec 76) – (Portfolio Committee on Transport – National Assembly).,Transport Appeal Tribunal Amendment Bill [B 8 – 2020] (Nasionale Vergadering –art 76) – (Portefeuljekomitee oor Vervoer – Nasionale Vergadering).,August
Public Finance Management Amendment Bill [B 13 - 2020] (National Assembly – sec 76) – (Standing Committee on Finance - National Assembly).,Public Finance Management Amendment Bill [B 13 - 2020] (Nasionale Vergadering – art 76) – (Staande Komitee oor Finansies - Nasionale Vergadering).,August
Employment Equity Amendment Bill [B 14 - 2020] (National Assembly – sec 75) – (Portfolio Committee on Employment and Labour – National Assembly).,Employment Equity Amendment Bill [B 14 - 2020] (Nasionale Vergadering –art 75) – (Portefeuljekomitee oor Indiensneming en Arbeid – Nasionale Vergadering).,August
Financial Sector Laws Amendment Bill [B 15 - 2020] (National Assembly – proposed sec 75) – (Standing Committee on Finance - National Assembly).,Financial Sector Laws Amendment Bill [B 15 - 2020] (Nasionale Vergadering – voorgestelde art 75) – (Staande Komitee oor Finansies - Nasionale Vergadering).,August
Criminal Law (Sexual Offences and Related Matters) Amendment Act Amendment Bill [B 16  2020] (National Assembly – proposed sec 75) – (Portfolio Committee on Justice and Correctional Services – National Assembly).,Criminal Law (Sexual Offences and Related Matters) Amendment Act Amendment Bill [B 16  2020] (Natsonale Vergadering – voorgestelde art 75) – (Portefeuljekomitee oor Justisie en Korrektiewe Dienste – Nasionale Vergadering).,August
BILLS RETURNED TO ASSEMBLY FOR CONSIDERATION OF PRESIDENT’S RESERVATIONS,WETSONTWERPE TERUGGESTUUR NA NASIONALE VERGADERING TER OORWEGING WEENS PRESIDENT SE VOORBEHOUDE,August
Protection of State Information Bill [B 6H – 2010] (National Assembly – sec 75).,Protection of State Information Bill [B 6H – 2010] (Nasionale Vergadering – art 75).,August
Liquor Products Amendment Bill [B 10B – 2016] (National Assembly – sec 75).,Liquor Products Amendment Bill [B 10B – 2016] (Nasionale Vergadering – art 75).,August
Performers’ Protection Amendment Bill [B24B - 2016] (National Assembly – sec 75).,Performers’ Protection Amendment Bill [B24B – 2016] (Nasionale Vergadering – art 75).,August
Copyright Amendment Bill [B13B - 2017] (National Assembly – sec 75).,Copyright Amendment Bill [B13B - 2017] (Nasionale Vergadering – art 75).,August
"BILLS, SUBJECT TO PROPOSED AMENDMENTS, PASSED BY NATIONAL COUNCIL OF PROVINCES AND RETURNED TO NATIONAL ASSEMBLY FOR CONCURRENCE","WETSONTWERPE, ONDERWORPE AAN VOORGESTELDE WYSIGINGS, DEUR NASIONALE RAAD VAN PROVINSIES GOEDGEKEUR EN NA NASIONALE VERGADERING TERUGGESTUUR VIR INSTEMMING",August
Cybercrimes Bill [B 6B – 2017] (National Assembly – sec 75) (introduced as Cybercrimes and Cybersecurity Bill [B 6 – 2017]).,Cybercrimes Bill [B 6B – 2017] (Nasionale Vergadering – art 75) (voorgestel as Cybercrimes and Cybersecurity Bill [B 6 – 2017]).,August
BILLS PASSED BY NATIONAL ASSEMBLY AND TRANSMITTED TO NATIONAL COUNCIL OF PROVINCES FOR CONCURRENCE,WETSONTWERPE DEUR NASIONALE VERGADERING GOEDGEKEUR EN NA NASIONALE RAAD VAN PROVINSIES GESTUUR VIR INSTEMMING,August
Traditional Courts Bill [B 1B – 2017] (National Assembly – sec 76).,Traditional Courts Bill [B 1B – 2017] (Nasionale Vergadering – art 76).,August
Airports Company Amendment Bill [B 5B – 2018] (National Assembly – sec 75).,Airports Company Amendment Bill [B 5B – 2018] (Nasionale Vergadering – art 75).,August
Air Traffic and Navigation Services Company Amendment Bill [B 6B – 2018] (National Assembly – sec 75).,Air Traffic and Navigation Services Company Amendment Bill [B 6B – 2018] (Nasionale Vergadering – art 75).,August
Social Assistance Amendment Bill [B 8B - 2018] (National Assembly – sec 76).,Social Assistance Amendment Bill [B 8B – 2018] (Nasionale Vergadering – art 76).,August
Local Government: Municipal Structures Amendment Bill [B 19B – 2018] (National Assembly – sec 76).,Local Government: Municipal Structures Amendment Bill [B 19B – 2018] (Nasionale Vergadering – art 76).,August
National Gambling Amendment Bill [B 27B – 2018] (National Assembly – sec 76).,National Gambling Amendment Bill [B 27B – 2018] Nasionale Vergadering – art 76).,August
Recognition of Customary Marriages Amendment Bill [B 12 - 2019] (National Assembly – sec 76).,Recognition of Customary Marriages Amendment Bill [B 12 – 2019] (Nasionale Vergadering – art 76).,August
Judicial Matters Amendment Bill [B 13B - 2019] (National Assembly – sec 75).,Judicial Matters Amendment Bill [B 13B – 2019] (Nasionale Vergadering – art 75).,August
Prescription in Civil and Criminal Matters (Sexual Offences) Amendment Bill [B 22B - 2019] (National Assembly – sec 75).,Prescription in Civil and Criminal Matters (Sexual Offences) Amendment Bill [B 22B – 2019] (Nasionale Vergadering – art 75).,August
INTERNATIONAL AGREEMENTS,INTERNASIONALE OOREENKOMSTE,August
"Ratification of the Agreement between the Government of the Republic of India, the Government of the Federative Republic of Brazil and the Government of the Republic of South Africa on the IBSA Fund for the Alleviation of Poverty and Hunger (signed 17 October 2017) (Tabled on 18 October 2019) (NA: Referred to Portfolio Committee on International Relations and Cooperation on 22 October 2019) (NCOP: Referred to Select Committee on Security and Justice on 24 October 2019).","Ratification of the Agreement between the Government of the Republic of India, the Government of the Federative Republic of Brazil and the Government of the Republic of South Africa on the IBSA Fund for the Alleviation of Poverty and Hunger (signed 17 October 2017) (Ter tafel gelê op 18 Oktober 2019) (NV: Verwys na Portefeuljekomitee oor Internasionale Betrekkinge en Samewerking op 22 Oktober 2019) (NRVP: Verwys na Gekose Komitee oor Veiligheid en Justisie op 24 Oktober 2019).",August
